trial,seed,usable_gap_step_mm,test_number,raw_requested_gap_mm,requested_gap_mm,actual_gap_mm,measured_gap_mm,article_threshold_mm,outcome,stage,incoming_middle_mm,incoming_overall_variation_mm
1,202609081,0.05,1,5.5,5.5,5.49685756464569,5.49205397913943,2.46109725393543,No interaction,1,5.5,1
1,202609081,0.05,2,3.24602698956972,3.25,3.21521408816794,3.21305053733341,1.8401595666536,No interaction,1,5.5,1
1,202609081,0.05,3,0.934047095527385,1,1,1.00260449937221,3.06350333947614,Interaction,1,5.5,1
1,202609081,0.05,4,2.10782751835281,2.1,2.09037027414703,2.07924953933241,2.20787282149906,Interaction,1,2.10782751835281,1
1,202609081,0.05,5,2.64615003833291,2.65,2.66552918232319,2.66243230588944,2.55316633509712,No interaction,1,2.64615003833291,1
1,202609081,0.05,6,2.05,2.05,2.06945103128501,2.05525983652539,3.11444173519529,Interaction,2,2.37084092261093,1
1,202609081,0.05,7,2.7,2.7,2.70572953905901,2.70934694672791,2.31447441497121,No interaction,2,2.37084092261093,0.8
1,202609081,0.05,8,2.05,2.05,2.06460846582065,2.0581525578603,2.01760812213461,No interaction,2,2.37084092261093,0.64
1,202609081,0.05,9,2.41085288695909,2.4,2.3854746833107,2.37940749967505,2.62625577738792,Interaction,3,2.14557590626833,0.194555908097373
1,202609081,0.05,10,1.83692924724081,1.85,1.87938802131105,1.8828250753272,2.41436342557515,Interaction,3,2.29987752021944,0.339903284125276
1,202609081,0.05,11,2.70214795508665,2.7,2.72303535503961,2.72209012937473,2.80236650164336,Interaction,3,2.3142624986188,0.308090116336659
1,202609081,0.05,12,3.18807983234904,3.2,3.18845980875679,3.19072120398335,2.79100283067844,No interaction,3,2.49167708373934,0.514140087567142
1,202609081,0.05,13,3.10153427192667,3.1,3.07928706630351,3.0778122863051,2.13416411057012,No interaction,3,2.4702977176748,0.472129060771785
1,202609081,0.05,14,1.88225750697599,1.9,1.91588892627782,1.92429389332421,2.93221472236971,Interaction,3,2.45255313688249,0.440893413147664
1,202609081,0.05,15,2.99011524468437,3,3.01279327397559,2.99589864108875,2.62844787506904,No interaction,3,2.46908689691081,0.4159906968252
1,202609081,0.05,16,1.97133630652423,1.95,1.95264067597274,1.94733434558854,1.9356531177844,No interaction,3,2.45321868435341,0.394985555597683
1,202609081,0.05,17,1.62377783507479,1.6,1.58589023722116,1.6144142634714,2.66022562848543,Interaction,3,2.33470076640821,0.535132052189254
1,202609081,0.05,18,1.67669637976981,1.7,1.69247016975907,1.68461445955675,3.28665182339427,Interaction,3,2.34769437888793,0.510070694882647
1,202609081,0.05,19,2.98079598359264,3,3.00638267722918,2.99720748920125,2.41649512530915,No interaction,3,2.35933165562627,0.489341990524702
1,202609081,0.05,20,2.93504197817989,2.95,2.9503879426747,2.95355807108497,2.62629187808764,No interaction,3,2.34601855712992,0.469903008416404
1,202609081,0.05,21,1.78011636225121,1.8,1.79825913173839,1.79146969295938,2.14504339788073,Interaction,3,2.33420957122073,0.453431431235284
1,202609081,0.05,22,2.87163000358286,2.85,2.8452064195286,2.84190077566061,2.76633427737466,No interaction,3,2.34668508426904,0.438184406772804
1,202609081,0.05,23,1.8337605581128,1.85,1.86611732487471,1.86586398011168,3.00836649210915,Interaction,3,2.3330515436587,0.423486841005855
1,202609081,0.05,24,2.82088541708918,2.8,2.8011834787705,2.81089951439065,1.84444564589433,No interaction,3,2.34572362013926,0.410684353457152
1,202609081,0.05,25,1.87883840863276,1.9,1.89992224058698,1.89961659164923,2.94543452918094,Interaction,3,2.33329236639541,0.398469055469218
1,202609081,0.05,26,2.77991591671628,2.8,2.80452408016008,2.7953143393476,2.12602679746639,No interaction,3,2.3449170495836,0.387872373725076
1,202609081,0.05,27,2.75081261657977,2.75,2.76223812959786,2.75486227391112,2.00161092375277,No interaction,3,2.33390979316908,0.37762936903142
1,202609081,0.05,28,1.92066126564154,1.9,1.89749224742582,1.90191232279286,2.68513590235216,Interaction,3,2.32313166071112,0.36822543007281
1,202609081,0.05,29,2.71874362938127,2.7,2.7192942517438,2.71872910047334,2.24615878338703,No interaction,3,2.33285003002591,0.359807551846496
1,202609081,0.05,30,1.94889538477179,1.95,1.97167482556918,1.98115317901259,2.26949000697293,Interaction,3,2.32225344667522,0.351395822967927
1,202609081,0.05,31,2.69524874373679,2.7,2.68591412295909,2.6889744349514,2.738627798736,Interaction,3,2.33342214156909,0.343615006806934
1,202609081,0.05,32,1.95546280717763,1.95,1.93957534226845,1.9381680976184,2.91967343241601,Interaction,3,2.3882303791122,0.380957369660714
1,202609081,0.05,33,1.97775193263881,2,1.99935708946967,1.98940284422717,2.25758971032029,Interaction,3,2.39593630115034,0.373545661912934
1,202609081,0.05,34,2.81042175722495,2.8,2.80254798865557,2.80689258952051,2.65725761630346,No interaction,3,2.40413757729032,0.36651707707229
1,202609081,0.05,35,2.00326574490584,2,1.98401395461596,1.9829194291611,2.39267673926439,Interaction,3,2.3956235441445,0.359302013954815
1,202609081,0.05,36,2.7848916438469,2.8,2.80126748415699,2.81680836455298,2.5244919587088,No interaction,3,2.40268956053854,0.353236675885728
1,202609081,0.05,37,2.02635729792518,2.05,2.05440449188927,2.04762924680929,2.65694103187085,Interaction,3,2.39546926134227,0.347072838191902
1,202609081,0.05,38,2.76523339225856,2.75,2.725477200304,2.71918384519417,3.14413793658357,Interaction,3,2.40360137025361,0.34132328646054
1,202609081,0.05,39,2.02746249490894,2.05,2.06115373669045,2.05795988644776,3.071061057799,Interaction,3,2.44522130959058,0.367745435459196
1,202609081,0.05,40,2.86039654823685,2.85,2.85660872579957,2.85752333646253,2.73447414708642,No interaction,3,2.45222386664281,0.361855214179116
1,202609081,0.05,41,2.04897099136164,2.05,2.0229620800364,2.01530478508267,3.09767605700172,Interaction,3,2.44544847378935,0.355904382789685
1,202609081,0.05,42,2.838067797886,2.85,2.81502962064425,2.80602917959773,2.6750298755384,No interaction,3,2.45079987497746,0.350945104584095
1,202609081,0.05,43,2.06603022795956,2.05,2.04918687430434,2.03240352660147,1.78577303495616,No interaction,3,2.44346783688663,0.345322606520647
1,202609081,0.05,44,2.84278304151502,2.85,2.85181452838897,2.8519777469109,3.38454333919501,Interaction,3,2.40546044731975,0.377490370474988
1,202609081,0.05,45,2.95682377422395,2.95,2.95781489767156,2.96410351365836,1.63416066969123,No interaction,3,2.44565936120487,0.416596913625987
1,202609081,0.05,46,1.94197266685033,1.95,1.97896658841727,1.98131611576643,3.29661329054862,Interaction,3,2.44070544825886,0.410648646692903
1,202609081,0.05,47,2.93358424523746,2.95,2.96681948260251,2.96824892897626,1.58029019841638,No interaction,3,2.44616941865206,0.404829590187213
1,202609081,0.05,48,1.96577712681828,1.95,1.95706868945801,1.95803728342313,2.30401889861997,Interaction,3,2.44174655546106,0.399638479129121
1,202609081,0.05,49,2.91220076262595,2.9,2.92893669718155,2.92420365165632,1.68087335675406,No interaction,3,2.4463550015727,0.39461733253134
1,202609081,0.05,50,1.98651523024881,2,2.01621885257515,2.00815628207704,2.64919100808753,Interaction,3,2.44162160846372,0.389645871759339
1,202609081,0.05,51,2.89290157423469,2.9,2.88380060970033,2.88567682610501,3.23335894281893,Interaction,3,2.44670941109235,0.384814284728198
1,202609081,0.05,52,2.98883098076464,3,2.98999839374872,2.99949666261943,2.45092894858611,No interaction,3,2.48048621099204,0.416505341886602
1,202609081,0.05,53,1.97933382043865,2,2.02594758916271,2.039200323837,3.07368036216929,Interaction,3,2.47625418962252,0.411528256052889
1,202609081,0.05,54,2.96994412429523,2.95,2.96720224778957,2.9544438904596,2.60856423170382,No interaction,3,2.48146607067229,0.406387731799448
1,202609081,0.05,55,1.99941379021552,2,2.00934029660048,2.01866283789441,2.31371391407221,Interaction,3,2.47692050807069,0.401603631501403
1,202609081,0.05,56,2.01193692349643,2.05,2.03621376677081,2.03712535177437,2.45090644765513,Interaction,3,2.48143181180349,0.397035846348462
1,202609081,0.05,57,2.94710034220545,2.95,2.98781494093688,2.98773211359337,1.90495038129997,No interaction,3,2.48590809927145,0.392671130637717
1,202609081,0.05,58,2.02997450546993,2.05,2.02812751885586,2.03855103594963,1.96999277452372,No interaction,3,2.48219203484208,0.388669986568248
1,202609081,0.05,59,2.95485090402754,2.95,2.94759004657109,2.93971651015128,2.70893916594582,No interaction,3,2.45384574454555,0.41525500164276
1,202609081,0.05,60,1.95758722421769,1.95,1.95964710972416,1.95078564487258,1.93770124789992,No interaction,3,2.44965963331,0.410744915769879
1,202609081,0.05,61,2.9720095550424,2.95,2.96899314545223,2.96425026502506,2.67385487244113,No interaction,3,2.42100142210112,0.4422216155227
1,202609081,0.05,62,1.87686632783569,1.9,1.88924400630132,1.8842528926941,1.93422070638981,Interaction,3,2.41726559084911,0.43757025345216
2,202609082,0.1,1,5.5,5.5,5.46674168595835,5.46341204785615,2.36177547828432,No interaction,1,5.5,1
2,202609082,0.1,2,3.23170602392807,3.2,3.20568912383041,3.21160881130152,2.50987370557377,No interaction,1,5.5,1
2,202609082,0.1,3,0.95980557474689,1,1,0.995261838788689,2.13587119205995,Interaction,1,5.5,1
2,202609082,0.1,4,2.1034353250451,2.1,2.08734383840082,2.08196009442475,1.97788148699565,No interaction,1,2.1034353250451,1
