scenario,repetition,seed,test_number,requested_gap_mm,stage,previous_outcome,current_outcome,at_boundary,final_status,stop_reason
13,1,202622141,4,0,1,No interaction,Interaction,1,complete,
15,1,202624141,4,10,1,Interaction,No interaction,1,complete,
15,3,202624143,4,10,1,Interaction,No interaction,1,complete,
40,1,202649141,5,0,1,No interaction,Interaction,1,complete,
60,1,202669141,4,10,1,Interaction,Interaction,1,paused,interaction_at_max_gap
60,4,202669144,4,10,1,Interaction,No interaction,1,complete,
70,4,202679144,4,0,1,No interaction,Interaction,1,complete,
72,2,202681142,4,10,1,Interaction,No interaction,1,complete,
72,5,202681145,4,10,1,Interaction,No interaction,1,complete,
73,1,202682141,4,0,1,No interaction,Interaction,1,complete,
75,2,202684142,4,10,1,Interaction,No interaction,1,complete,
75,3,202684143,4,10,1,Interaction,No interaction,1,complete,
85,5,202694145,4,0,1,No interaction,Interaction,1,complete,
103,3,202712143,5,0,1,No interaction,Interaction,1,complete,
120,1,202729141,4,10,1,Interaction,No interaction,1,complete,
133,3,202742143,4,0,1,No interaction,Interaction,1,complete,
163,1,202772141,4,0,1,No interaction,Interaction,1,complete,
165,2,202774142,4,9.9,1,Interaction,No interaction,0,complete,
180,1,202789141,4,10,1,Interaction,No interaction,1,complete,
195,3,202804143,4,10,1,Interaction,No interaction,1,complete,
205,2,202814142,4,0,1,No interaction,Interaction,1,complete,
225,1,202834141,4,9.9,1,Interaction,No interaction,0,complete,
250,3,202859143,4,0,1,No interaction,Interaction,1,complete,
270,1,202879141,4,10,1,Interaction,Interaction,1,paused,interaction_at_max_gap
270,5,202879145,4,10,1,Interaction,No interaction,1,complete,
285,3,202894143,4,9.9,1,Interaction,No interaction,0,complete,
327,5,202936145,4,10,1,Interaction,No interaction,1,complete,
358,2,202967142,4,0,1,No interaction,Interaction,1,complete,
