scenario,true_middle_mm,true_variation_mm,usable_step_mm,starting_variation_mm,article_count,first_seed,repetitions,overlap_runs,paused_runs,invariant_failures,nonfinite_requests,out_of_bounds_requests,off_grid_requests,immediate_duplicate_requests,invalid_stage_values,stage_reversals,budget_overruns,measurement_count_failures,invalid_fits,probability_direction_failures,missing_pause_reasons,replay_matches,middle_bias_mm,middle_rmse_mm,variation_bias_mm,variation_rmse_mm,median_run_seconds,maximum_run_seconds,execution_mode
3,8.5,0.15,0.05,0.25,20,202612141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0285914987928194,0.0723521556389596,-0.0455636729034943,0.07483865726643,0.1679493,0.6516732,serial
7,1.5,0.5,0.05,0.25,20,202616141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0336417564759668,0.143855530043376,-0.12783589503203,0.160058306651303,0.1078807,0.168289,serial
11,5,1,0.05,0.25,20,202620141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.141044940123006,0.424908990270135,-0.194832078502031,0.450241443161846,0.1244558,0.1321614,serial
15,8.5,1.5,0.05,0.25,20,202624141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.297794934555104,0.390316504038191,-0.390674299053196,0.563901114713879,0.1147579,0.1226644,serial
19,1.5,0.25,0.1,0.25,20,202628141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.082315719918169,0.11960942189975,-0.090758594477362,0.0917330650467226,0.0986959,0.1061439,serial
23,5,0.5,0.1,0.25,20,202632141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.104869477652443,0.2187908632206,0.150541730997479,0.238417965274254,0.1112657,0.1246656,serial
27,8.5,1,0.1,0.25,20,202636141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.291700809497003,0.311166076507581,-0.223399774561072,0.5990007695159,0.1104764,0.1171352,serial
31,1.5,0.15,0.15,0.25,20,202640141,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0529080955117907,0.0597466217945905,0.0304198991134661,0.0333121671928038,0.0083909,0.1017452,serial
35,5,0.25,0.15,0.25,20,202644141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0368207744102946,0.15345403551173,-0.00407523548115832,0.046758980170534,0.0859916,0.1064252,serial
39,8.5,0.5,0.15,0.25,20,202648141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0752026013288312,0.146419617828754,-0.115228210321193,0.134961422401399,0.1037374,0.1065441,serial
43,1.5,1.5,0.15,0.25,20,202652141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0393591175337214,0.241312093243194,-0.338064249294332,0.457276566669882,0.1267856,0.1394438,serial
47,5,0.15,0.5,0.25,20,202656141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0093588,0.0099572,serial
51,8.5,0.25,0.5,0.25,20,202660141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0082142,0.0124249,serial
55,1.5,1,0.5,0.25,20,202664141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.114175588547701,0.228981612516768,-0.141830145539629,0.265503599909937,0.1048669,0.1163898,serial
59,5,1.5,0.5,0.25,20,202668141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.258473934193691,0.427021194186577,-0.390122984667461,0.429480328258269,0.1153895,0.141576,serial
63,8.5,0.15,0.05,1,20,202672141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0088403,0.0113578,serial
67,1.5,0.5,0.05,1,20,202676141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.193629054818655,0.323715326642768,-0.0741805903262058,0.128209835592364,0.1094931,0.1250198,serial
71,5,1,0.05,1,20,202680141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.161890902516797,0.18826384791789,-0.0830155665455107,0.540380038220414,0.1230248,0.1735788,serial
75,8.5,1.5,0.05,1,20,202684141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.240268961722247,0.458075795127827,0.135625785454811,0.397103518421513,0.1318747,0.1353534,serial
79,1.5,0.25,0.1,1,20,202688141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00575256454405319,0.0855163095631636,0.0327081608898013,0.0402149818332513,0.0853681,0.1229046,serial
83,5,0.5,0.1,1,20,202692141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0896939273496448,0.151884773394267,-0.0961533169969002,0.158095124578057,0.1128665,0.1197104,serial
87,8.5,1,0.1,1,20,202696141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.144622503438973,0.190031961528953,-0.401728225477961,0.422909112189594,0.1055555,0.1175904,serial
91,1.5,0.15,0.15,1,20,202700141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0886840886027749,0.0886840886027749,-0.0194340122039218,0.0194340122039218,0.0098287,0.0937499,serial
95,5,0.25,0.15,1,20,202704141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.00396508801089102,0.0794818135221702,0.0629541272605847,0.0742535867819199,0.097292,0.1208667,serial
99,8.5,0.5,0.15,1,20,202708141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0228665708202946,0.141308756309301,-0.0794911271357206,0.132322533285078,0.1040451,0.1126351,serial
