scenario,true_middle_mm,true_variation_mm,usable_step_mm,starting_variation_mm,article_count,first_seed,repetitions,overlap_runs,paused_runs,invariant_failures,nonfinite_requests,out_of_bounds_requests,off_grid_requests,immediate_duplicate_requests,invalid_stage_values,stage_reversals,budget_overruns,measurement_count_failures,invalid_fits,probability_direction_failures,missing_pause_reasons,replay_matches,middle_bias_mm,middle_rmse_mm,variation_bias_mm,variation_rmse_mm,median_run_seconds,maximum_run_seconds,execution_mode
1,1.5,0.15,0.05,0.25,20,202610141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0262332947308056,0.0560135789658342,-0.0584276220453056,0.0667396668087686,0.2109908,0.6598934,serial
2,5,0.15,0.05,0.25,20,202611141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0727483120124154,0.0887441400606813,-0.0363546610361177,0.0492954972989129,0.1772698,0.633933,serial
3,8.5,0.15,0.05,0.25,20,202612141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0285914987928194,0.0723521556389596,-0.0455636729034943,0.07483865726643,0.1679493,0.6516732,serial
4,1.5,0.25,0.05,0.25,20,202613141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0144858012793724,0.109679713269698,-0.0721082744483512,0.0749704076940879,0.1597014,0.6847877,serial
5,5,0.25,0.05,0.25,20,202614141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0274936044116824,0.0749595483838845,-0.124483745002438,0.131861312867082,0.1044348,0.1238836,serial
6,8.5,0.25,0.05,0.25,20,202615141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0023123617468638,0.0505730630639025,-0.0856883636890009,0.118604063575613,0.1023006,0.1081779,serial
7,1.5,0.5,0.05,0.25,20,202616141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0336417564759668,0.143855530043376,-0.12783589503203,0.160058306651303,0.1078807,0.168289,serial
8,5,0.5,0.05,0.25,20,202617141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0663863387796987,0.127030893536011,-0.352127859641838,0.36380124203804,0.0972208,0.109052,serial
9,8.5,0.5,0.05,0.25,20,202618141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0685937716271528,0.146482045892522,-0.21234774208891,0.282959500630375,0.102662,0.1694588,serial
10,1.5,1,0.05,0.25,20,202619141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.111941796972731,0.428386533408238,-0.370168436606721,0.49442782642299,0.1334122,0.1615993,serial
11,5,1,0.05,0.25,20,202620141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.141044940123006,0.424908990270135,-0.194832078502031,0.450241443161846,0.1244558,0.1321614,serial
12,8.5,1,0.05,0.25,20,202621141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0218438317888079,0.230052556796003,-0.349912861025926,0.385867374848292,0.1297895,0.1410424,serial
13,1.5,1.5,0.05,0.25,20,202622141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0567905318490268,0.20872372107797,-0.763841767975341,0.820419686742916,0.1224583,0.1261115,serial
14,5,1.5,0.05,0.25,20,202623141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17692584607283,0.496538346105449,-0.531142929943942,0.664027805139228,0.1191371,0.1326576,serial
15,8.5,1.5,0.05,0.25,20,202624141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.297794934555104,0.390316504038191,-0.390674299053196,0.563901114713879,0.1147579,0.1226644,serial
