trial,seed,usable_gap_step_mm,test_number,raw_requested_gap_mm,requested_gap_mm,actual_gap_mm,measured_gap_mm,article_threshold_mm,outcome,stage,incoming_middle_mm,incoming_overall_variation_mm
1,202609141,0.05,1,5.5,5.5,5.50757576443857,5.52817148266467,2.66790220059136,No interaction,1,5.5,1
1,202609141,0.05,2,3.26408574133234,3.25,3.28265794009401,3.29297346147955,1.82492828919593,No interaction,1,5.5,1
1,202609141,0.05,3,1.05777544029442,1.05,1.05543930909152,1.05642407959131,2.47541159612263,Interaction,1,5.5,1
1,202609141,0.05,4,2.17469877053543,2.15,2.16137121947333,2.15785477719333,2.87563770311603,Interaction,1,2.17469877053543,1
1,202609141,0.05,5,2.72541411933644,2.75,2.77634196321854,2.7935703509228,2.79495340912675,Interaction,1,2.72541411933644,1
1,202609141,0.05,6,4.34127190620117,4.35,4.33289499153803,4.33667685367968,1.5380282137398,No interaction,2,3.04327190620117,1
1,202609141,0.05,7,4.07127190620117,4.05,4.04619036805352,4.03794913887252,2.067193300082,No interaction,2,3.04327190620117,0.8
1,202609141,0.05,8,2.26471190620117,2.25,2.2345510574961,2.2327748405001,2.05856986728989,No interaction,2,3.04327190620117,0.64
1,202609141,0.05,9,1.64512524470737,1.65,1.6411122395036,1.63433100301579,3.4365937867097,Interaction,3,2.5831793870098,0.730856363305361
1,202609141,0.05,10,3.43309163259208,3.45,3.46124433184571,3.45783807033478,2.0049643154375,No interaction,3,2.62237736214154,0.660190773982524
1,202609141,0.05,11,1.8580294726439,1.85,1.90076368467678,1.90764966617701,2.57942743125245,Interaction,3,2.57777998845605,0.598545127494513
1,202609141,0.05,12,3.25488553630632,3.25,3.2403724939692,3.22148788288247,3.13218085822888,No interaction,3,2.61715198038543,0.550957715698394
1,202609141,0.05,13,3.14364408304335,3.15,3.10918037663193,3.10891836557976,1.60376021658216,No interaction,3,2.57268100853295,0.504607224489962
1,202609141,0.05,14,2.01668373603777,2,1.9751737406413,1.9843784936348,2.75315818909423,Interaction,3,2.53617046262659,0.469274369095592
1,202609141,0.05,15,3.03173667842572,3.05,3.06218981369776,3.07264713020713,2.3157910757431,No interaction,3,2.56484942475872,0.441083848528112
1,202609141,0.05,16,2.10761545072696,2.1,2.09615395444389,2.09216029554475,2.46236311035848,Interaction,3,2.53765400069477,0.416704021286646
1,202609141,0.05,17,2.95887611524325,2.95,2.9589144107503,2.96319670916297,1.79949790618012,No interaction,3,2.56471619282903,0.395345960295104
