Neyer Gap Test V1.14 full relevant suite
MATLAB release: 2022b
Passed: 241
Failed: 0
Incomplete: 0
Elapsed seconds: 43.981
Archived version-specific gates excluded: V1.9, V1.10, V1.11, V1.12, V1.13 audit snapshots, and abandoned V2.
V1.13 preservation is covered by TestV114ReleaseIsolation.
TestBaselineCharacterization/locksCurrentStageSequenceAndStageTwoSigma | Passed=1 Failed=0 Incomplete=0
TestBaselineCharacterization/roundsEveryFeedbackLevelToTwoDecimals | Passed=1 Failed=0 Incomplete=0
TestBaselineCharacterization/boundaryTieIsNotOverlap | Passed=1 Failed=0 Incomplete=0
TestBaselineCharacterization/runConsumesExactlyTheRequestedBudget | Passed=1 Failed=0 Incomplete=0
TestCombinedPhysicalStudy/savesEveryScenarioAndReportsProgress | Passed=1 Failed=0 Incomplete=0
TestCombinedPhysicalStudy/restartSkipsCompletedScenarios | Passed=1 Failed=0 Incomplete=0
TestCombinedPhysicalStudy/modelsNewSpacerBuildVariation | Passed=1 Failed=0 Incomplete=0
TestDirectRunSafety/sixtyTwoSeparatedResultsNeverRequestImmediateDuplicate | Passed=1 Failed=0 Incomplete=0
TestFixedGapConfidence/interactionMinimumDoesNotExceedBestEstimate | Passed=1 Failed=0 Incomplete=0
TestFixedGapConfidence/noInteractionMinimumDoesNotExceedBestEstimate | Passed=1 Failed=0 Incomplete=0
TestFixedGapConfidence/representativeMinimumsAreFiniteAndNotArtificialFloors | Passed=1 Failed=0 Incomplete=0
TestFixedGapConfidence/bestProbabilitiesStillMoveInPhysicalDirection | Passed=1 Failed=0 Incomplete=0
TestGapBoundaryPause/twoNoInteractionsAtZeroPauseForReview | Passed=1 Failed=0 Incomplete=0
TestGapBoundaryPause/twoInteractionsAtTenPauseForReview | Passed=1 Failed=0 Incomplete=0
TestGapBoundaryPause/expectedBoundaryAnswerContinuesStudy | Passed=1 Failed=0 Incomplete=0
TestGapBoundaryPause/pausedRunReportDoesNotTellOperatorToKeepTesting | Passed=1 Failed=0 Incomplete=0
TestGapBoundaryPause/boundaryMessagesUseGapLanguage | Passed=1 Failed=0 Incomplete=0
TestGapDirection/publishedDemoUsesDecreasingGapOutcomes | Passed=1 Failed=0 Incomplete=0
TestGapDirection/interactionProbabilityFallsAsGapIncreases | Passed=1 Failed=0 Incomplete=0
TestGapDirection/stageOneMovesToLargerGapAfterInteraction | Passed=1 Failed=0 Incomplete=0
TestGapDirection/stageOneMovesToSmallerGapAfterNoInteraction | Passed=1 Failed=0 Incomplete=0
TestGapDirection/ordinaryDecreasingOrderIsNotOverlap | Passed=1 Failed=0 Incomplete=0
TestGapDirection/largeGapInteractionBeyondSmallGapNoIsOverlap | Passed=1 Failed=0 Incomplete=0
TestGapDirection/stageTwoBisectsDecreasingGapBracket | Passed=1 Failed=0 Incomplete=0
TestGapDirection/mirroredPublishedSequenceMatchesDecreasingGap | Passed=1 Failed=0 Incomplete=0
TestGapDirection/reportProvidesGapSpecificTailFields | Passed=1 Failed=0 Incomplete=0
TestGapDirection/reportUsesGapSpecificLanguage | Passed=1 Failed=0 Incomplete=0
TestGapDirection/recommendationsStayInsidePermittedGapRange | Passed=1 Failed=0 Incomplete=0
TestGapDirection/impossibleConfidenceEdgesAreReportedAsNotEstablished | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/plainTextUsesGapMeaning | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/csvStoresGapAndInteractionOutcomes | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/physicalCsvPreservesRequestAndOneMeasurement | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/physicalCsvUsesCleanRoundTripPrecision | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/htmlExplainsDecreasingGapDirection | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/incompleteRangesUsePlainLanguageInsteadOfNan | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/noFitResultCanStillBeSaved | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/noFitHtmlPreservesCompletedPhysicalTests | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/htmlEscapesUnitAndKeepsMeasuredPrecision | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/htmlRejectsMisalignedTestRows | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/existingCsvPreventsBothResultFilesFromBeingChanged | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/existingHtmlPreventsBothResultFilesFromBeingChanged | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/operatorScreensDoNotUseOldDropTestLanguage | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/resultWindowErrorsAreExplainedInsteadOfHidden | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/operatorWordingUsesOverallVariation | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/mainMenuNamesTheNeyerGapTest | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/resultHeadlineHasEnoughVerticalSpace | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/firstStudyInstructionsUsePlainVariationWording | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/chartEdgeCalloutsPointInward | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/pausedPlainTextRequestsReviewNotMoreTests | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/chartShowsCorrectGapDirection | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/matlabResultFigureKeepsBellCurveAndAddsProbabilityCurve | Passed=1 Failed=0 Incomplete=0
TestGapPresentation/calculatedResultUsesTheDefinedOutcomeCounter | Passed=1 Failed=0 Incomplete=0
TestGapReliability/interactionProbabilityFallsAsGapIncreases | Passed=1 Failed=0 Incomplete=0
TestGapReliability/noInteractionProbabilityRisesAsGapIncreases | Passed=1 Failed=0 Incomplete=0
TestGapReliability/targetInteractionGapUsesSmallGapSide | Passed=1 Failed=0 Incomplete=0
TestGapReliability/targetNoInteractionGapUsesLargeGapSide | Passed=1 Failed=0 Incomplete=0
TestGapReliability/outOfRangeInteractionBoundaryIsNotUsable | Passed=1 Failed=0 Incomplete=0
TestGapReliability/outOfRangeNoInteractionBoundaryIsNotUsable | Passed=1 Failed=0 Incomplete=0
TestGapReliability/lowerConfidenceNeverCreatesStrongerInteractionClaim | Passed=1 Failed=0 Incomplete=0
TestGapReliability/lowerConfidenceNeverCreatesStrongerNoInteractionClaim | Passed=1 Failed=0 Incomplete=0
TestPaperConformance/stageOneUsesPriorMeanBoundWhenItReachesFarther | Passed=1 Failed=0 Incomplete=0
TestPaperConformance/partOneBisectsWhileSeparationExceedsSigma | Passed=1 Failed=0 Incomplete=0
TestPaperConformance/eachNoOverlapPartTwoTestShrinksWorkingSigma | Passed=1 Failed=0 Incomplete=0
TestPhysicalGapWorkflow/popupRequestIsRoundedToConfiguredIncrement | Passed=1 Failed=0 Incomplete=0
TestPhysicalGapWorkflow/singleMeasurementIsUsedAsTheStatisticalGap | Passed=1 Failed=0 Incomplete=0
TestPhysicalGapWorkflow/repeatedReachableSettingMeasuresEachNewBuild | Passed=1 Failed=0 Incomplete=0
TestPhysicalGapWorkflow/measuredMeanCannotMakeAReachableSettingLookNew | Passed=1 Failed=0 Incomplete=0
TestPhysicalGapWorkflow/irregularPhysicalModelRequestsOnlyListedGap | Passed=1 Failed=0 Incomplete=0
TestPhysicalGapWorkflow/physicalCombinationModeAcceptsFifteenMicronResolution | Passed=1 Failed=0 Incomplete=0
TestPhysicalGapWorkflow/stageTwoTreatsDecimalBoundaryAsEqual | Passed=1 Failed=0 Incomplete=0
TestPhysicalGapWorkflow/reachableListExcludesCandidatesWithinBoundaryTolerance | Passed=1 Failed=0 Incomplete=0
TestPhysicalGapWorkflow/stageTwoUsesActualIrregularReachableCandidate | Passed=1 Failed=0 Incomplete=0
TestPhysicalGapWorkflow/stageTwoUsesActualCombinationCandidate | Passed=1 Failed=0 Incomplete=0
TestPhysicalGapWorkflow/stageTwoPausesWhenNoStrictlyUsefulCandidateExists | Passed=1 Failed=0 Incomplete=0
TestPhysicalGapWorkflow/crossedRequestedOutcomesPauseAndPreserveMeasuredData | Passed=1 Failed=0 Incomplete=0
TestPhysicalRunEntryPoint/physicalRunRequiresAnExplicitIncrement | Passed=1 Failed=0 Incomplete=0
TestPhysicalRunEntryPoint/physicalRunRejectsNonpositiveOrNonfiniteIncrement | Passed=1 Failed=0 Incomplete=0
TestPhysicalRunEntryPoint/physicalRunAcceptsSupportedEquipmentIncrements | Passed=1 Failed=0 Incomplete=0
TestPhysicalRunEntryPoint/physicalRunDoesNotAcceptBooleanOnlyResponse | Passed=1 Failed=0 Incomplete=0
TestPhysicalRunEntryPoint/physicalRunDefaultsToTwoIncrementSigmaFloor | Passed=1 Failed=0 Incomplete=0
TestPhysicalRunEntryPoint/foilThicknessDoesNotControlSigmaFloor | Passed=1 Failed=0 Incomplete=0
