true_middle_mm,true_variation_mm,usable_step_mm,maximum_tests,random_seed,tests_requested,search_scale_mm,search_scale_source,all_requests_reachable,all_requests_in_bounds,no_immediate_duplicate,has_overlap,estimated_middle_mm,estimated_variation_mm,middle_lower_mm,middle_upper_mm,variation_lower_mm,variation_upper_mm,middle_interval_contains_truth,variation_interval_contains_truth,status,middle_absolute_error_mm,variation_absolute_error_mm
2.5,0.15,0.05,62,11412,62,1.33333333333333,automatic,1,1,1,1,2.45668429165899,0.0885288563979109,2.40454966190233,2.53176037018419,0.0560280171645125,0.166645845533653,1,1,complete,0.0433157083410118,0.0614711436020891
2.5,0.15,0.05,62,11414,62,1.33333333333333,automatic,1,1,1,1,2.46236500867987,0.137600808956242,2.39919495359613,2.52667351682396,0.0969761904259681,0.215732293941593,1,1,complete,0.0376349913201297,0.0123991910437584
2.5,0.15,0.15,62,11414,62,1.33333333333333,automatic,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,complete,NaN,NaN
2.5,0.15,0.15,62,11416,62,1.33333333333333,automatic,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,complete,NaN,NaN
2.5,0.15,0.5,62,11416,62,1.33333333333333,automatic,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,complete,NaN,NaN
2.5,0.15,0.5,62,11418,62,1.33333333333333,automatic,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,complete,NaN,NaN
2.5,0.8,0.05,62,11418,62,1.33333333333333,automatic,1,1,1,1,2.78429909558815,0.798516922044386,2.41872070081048,3.1555343724547,0.567590026902785,1.21761215214693,1,1,complete,0.284299095588146,0.00148307795561387
2.5,0.8,0.05,62,11420,62,1.33333333333333,automatic,1,1,1,1,2.52158217177275,0.652887626043817,2.25516752707173,2.78545353367418,0.461152930609246,1.0353365853944,1,1,complete,0.0215821717727542,0.147112373956183
2.5,0.8,0.15,62,11420,62,1.33333333333333,automatic,1,1,1,1,2.4960796273075,0.80988895605778,2.17253212321807,2.8165706374075,0.569754144656413,1.30525142859196,1,1,complete,0.00392037269249945,0.0098889560577804
2.5,0.8,0.15,62,11422,62,1.33333333333333,automatic,1,1,1,1,2.58274249461278,0.740057564757742,2.26363470734715,2.91113907677215,0.521484958177229,1.1342344393784,1,1,complete,0.0827424946127846,0.059942435242258
2.5,0.8,0.5,62,11422,62,1.33333333333333,automatic,1,1,1,1,2.6593766587121,0.531964559573053,2.42372807399444,2.88680193593635,0.361579961794733,0.858981390017389,1,1,complete,0.159376658712097,0.268035440426947
2.5,0.8,0.5,62,11424,62,1.33333333333333,automatic,1,1,1,1,2.05769093036941,1.05325564074979,1.63279373476491,2.49134813222351,0.744972732195173,1.65562598703257,0,1,complete,0.442309069630588,0.253255640749793
2.5,2,0.05,62,11424,62,1.33333333333333,automatic,1,1,1,1,2.27531016441351,1.60687033912186,1.60048797915713,2.95219983719565,1.1600655706312,2.43304372019168,1,1,complete,0.224689835586485,0.393129660878138
2.5,2,0.05,62,11426,62,1.33333333333333,automatic,1,1,1,1,2.67916014314296,1.37487032748374,2.09273104526747,3.26894146165654,0.99217245716463,2.07010805236069,1,1,complete,0.179160143142961,0.625129672516265
2.5,2,0.15,62,11426,62,1.33333333333333,automatic,1,1,1,1,2.56803519891791,1.49674839460793,1.96334725592661,3.17364198248824,1.06471632632517,2.34074250355341,1,1,complete,0.0680351989179053,0.503251605392073
2.5,2,0.15,62,11428,62,1.33333333333333,automatic,1,1,1,1,2.75736656652558,1.28796284116935,2.2390991592139,3.26786918932312,0.908656340335186,2.05375347937023,1,1,complete,0.257366566525575,0.712037158830651
2.5,2,0.5,62,11428,62,1.33333333333333,automatic,1,1,1,1,2.79462662157365,1.42250777570522,2.2047630117423,3.37843284750005,1.01372291696268,2.20206910385705,1,1,complete,0.294626621573646,0.57749222429478
2.5,2,0.5,62,11430,62,1.33333333333333,automatic,1,1,1,1,3.06709943342307,1.92409085971625,2.27339455658162,3.86076219006356,1.37159513924574,2.96967596600425,1,1,complete,0.56709943342307,0.075909140283746
5,0.15,0.05,62,11430,62,1.33333333333333,automatic,1,1,1,1,5.00301457562014,0.109336789852261,4.94947928133123,5.05496963306647,0.0759791696130036,0.172252210384488,1,1,complete,0.00301457562013674,0.0406632101477386
5,0.15,0.05,62,11432,62,1.33333333333333,automatic,1,1,1,1,5.03526000089551,0.196769922216204,4.94294830946521,5.12692630377588,0.138692300756243,0.305813425023822,1,1,complete,0.0352600008955051,0.0467699222162043
5,0.15,0.15,62,11432,62,1.33333333333333,automatic,1,1,1,1,5.05550521435483,0.134288633058493,4.9754233303422,5.16309939595505,0.0837511422137665,0.242274701784079,1,1,complete,0.0555052143548345,0.0157113669415069
5,0.15,0.15,62,11434,62,1.33333333333333,automatic,1,1,1,1,5.03390141512027,0.112962434651771,4.97246202464145,5.09990723380844,0.0737126330160284,0.189429185750403,1,1,complete,0.0339014151202655,0.0370375653482294
5,0.15,0.5,62,11434,62,1.33333333333333,automatic,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,complete,NaN,NaN
5,0.15,0.5,62,11436,62,1.33333333333333,automatic,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,complete,NaN,NaN
5,0.8,0.05,62,11436,62,1.33333333333333,automatic,1,1,1,1,4.99479205139118,0.714404473946948,4.69201670056115,5.30212884267388,0.496320141227523,1.15265253868846,1,1,complete,0.00520794860881679,0.0855955260530521
5,0.8,0.05,62,11438,62,1.33333333333333,automatic,1,1,1,1,5.13200846283438,0.777063128234924,4.80962716203074,5.46658626500047,0.552615872928765,1.20658544690337,1,1,complete,0.132008462834379,0.0229368717650765
5,0.8,0.15,62,11438,62,1.33333333333333,automatic,1,1,1,1,5.11006755941295,0.827224773184891,4.76300971403009,5.46368297135887,0.589718287935453,1.27468456601163,1,1,complete,0.110067559412949,0.0272247731848907
5,0.8,0.15,62,11440,62,1.33333333333333,automatic,1,1,1,1,4.82337968339323,0.617526952008665,4.55685034757138,5.09039109379489,0.442110005772469,0.937746755040047,1,1,complete,0.176620316606769,0.182473047991335
5,0.8,0.5,62,11440,62,1.33333333333333,automatic,1,1,1,1,4.93106906503667,0.832875730234958,4.57900543610774,5.28090552654121,0.593458844858982,1.28072385950742,1,1,complete,0.0689309349633271,0.0328757302349583
5,0.8,0.5,62,11442,62,1.33333333333333,automatic,1,1,1,1,5.14810273511972,0.654901642383488,4.8692268772322,5.42853395851865,0.458289475025089,1.02369856315986,1,1,complete,0.148102735119721,0.145098357616512
5,2,0.05,62,11442,62,1.33333333333333,automatic,1,1,1,1,5.78611083797282,1.96050388241115,4.94270104387861,6.62649231783145,1.40643552844568,2.96784452720133,1,1,complete,0.786110837972815,0.0394961175888473
5,2,0.05,62,11444,62,1.33333333333333,automatic,1,1,1,1,5.32398653492719,2.16802732293768,4.48791162463096,6.164655430797,1.39677168325586,4.41047058920827,1,1,complete,0.323986534927188,0.168027322937682
5,2,0.15,62,11444,62,1.33333333333333,automatic,1,1,1,1,5.26194140137085,1.68294075952024,4.59857635517056,5.92176561179877,1.17440624256983,2.7456482770045,1,1,complete,0.261941401370851,0.317059240479763
5,2,0.15,62,11446,62,1.33333333333333,automatic,1,1,1,1,4.81240062566409,2.28022082972027,3.83871670375606,5.78651412129741,1.64355799059318,3.43846121999615,1,1,complete,0.187599374335906,0.280220829720269
5,2,0.5,62,11446,62,1.33333333333333,automatic,1,1,1,1,5.51693355158897,1.91663613589644,4.62742103720175,6.39328004413372,1.37651256681206,2.85992418635594,1,1,complete,0.516933551588973,0.0833638641035637
5,2,0.5,62,11448,62,1.33333333333333,automatic,1,1,1,1,5.39478640224987,1.90983400955473,4.64414380711901,6.12260224156189,1.3199152917055,3.22554997446615,1,1,complete,0.394786402249871,0.0901659904452683
7.5,0.15,0.05,62,11448,62,1.33333333333333,automatic,1,1,1,1,7.50001039401492,0.156482339940101,7.42752055295832,7.57197380181588,0.109442926077745,0.249279046683214,1,1,complete,1.03940149180914e-05,0.00648233994010136
7.5,0.15,0.05,62,11450,62,1.33333333333333,automatic,1,1,1,1,7.47808431109362,0.127516971264512,7.41282394473586,7.54241470938596,0.0879032475096291,0.20492747846666,1,1,complete,0.0219156889063834,0.0224830287354881
7.5,0.15,0.15,62,11450,62,1.33333333333333,automatic,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,complete,NaN,NaN
7.5,0.15,0.15,62,11452,62,1.33333333333333,automatic,1,1,1,1,7.54195722829026,0.155973428418616,7.47112766629092,7.6138627973531,0.107476800782029,0.249497979981248,1,1,complete,0.0419572282902605,0.00597342841861592
7.5,0.15,0.5,62,11452,62,1.33333333333333,automatic,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,complete,NaN,NaN
7.5,0.15,0.5,62,11454,62,1.33333333333333,automatic,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,complete,NaN,NaN
7.5,0.8,0.05,62,11454,62,1.33333333333333,automatic,1,1,1,1,7.41510700828299,0.785553078716321,7.08718007858891,7.73799330355906,0.54959459788136,1.2356144953423,1,1,complete,0.0848929917170071,0.0144469212836791
7.5,0.8,0.05,62,11456,62,1.33333333333333,automatic,1,1,1,1,7.43676762205346,0.459980563889416,7.23488518557268,7.63941034819288,0.326400928269299,0.710752277146252,1,0,complete,0.0632323779465374,0.340019436110584
7.5,0.8,0.15,62,11456,62,1.33333333333333,automatic,1,1,1,1,7.40568505964445,0.586911274896352,7.15227572907226,7.65915089110974,0.41625278185436,0.909967686639517,1,1,complete,0.0943149403555461,0.213088725103648
7.5,0.8,0.15,62,11458,62,1.33333333333333,automatic,1,1,1,1,7.45537900449127,0.699347857416103,7.17635118409117,7.73376976857996,0.48332803624911,1.15960443395419,1,1,complete,0.0446209955087253,0.100652142583897
7.5,0.8,0.5,62,11458,62,1.33333333333333,automatic,1,1,1,1,7.52377951678612,0.691061656526878,7.22464395765181,7.83271357722898,0.490231959871605,1.05805727725442,1,1,complete,0.023779516786119,0.108938343473122
7.5,0.8,0.5,62,11460,62,1.33333333333333,automatic,1,1,1,1,7.56095995397765,0.925567009895179,7.1847434723809,7.93357685747131,0.631969979255531,1.52996421143326,1,1,complete,0.0609599539776511,0.125567009895179
7.5,2,0.05,62,11460,62,1.33333333333333,automatic,1,1,1,1,7.30986949712513,2.19185033388843,6.44952152604988,8.17136632769471,1.53760043405831,3.5564164650836,1,1,complete,0.190130502874872,0.191850333888431
7.5,2,0.05,62,11462,62,1.33333333333333,automatic,1,1,1,1,6.76611033915425,2.10900415033168,5.86419545025259,7.67579423750142,1.50603720561369,3.21605353006254,1,1,complete,0.733889660845751,0.109004150331681
7.5,2,0.15,62,11462,62,1.33333333333333,automatic,1,1,1,1,7.38934527776243,2.21255988414999,6.5057521614587,8.27975991795081,1.58099567805254,3.46069082297855,1,1,complete,0.110654722237571,0.21255988414999
