budget,increment,floor_factor,scenarios,total_runs,actual_strict_overlap_percent,false_overlap_percent,middle_gap_rmse,transition_width_rmse,mean_repeated_setting_percent,no_finite_fit_percent
20,0.05,0,36,10800,97.3611111111111,0.00925925925925925,0.115502989782867,0.136584469929875,30.7282407407407,2.67592592592593
20,0.05,1,36,10800,97.3240740740741,0.00925925925925925,0.11551118970855,0.136538401406451,30.7291666666667,2.71296296296296
20,0.05,2,36,10800,97.1666666666667,0.0185185185185185,0.115975075840154,0.13612211215567,30.799537037037,2.86111111111111
20,0.1,0,36,10800,90.6851851851852,0.101851851851852,0.115366159847751,0.130771997967683,44.8699074074074,9.3148148148148
20,0.1,1,36,10800,89.3981481481482,0.0925925925925926,0.115229752096676,0.130213124376868,44.9819444444444,10.6111111111111
20,0.1,2,36,10800,89.9074074074074,0.0925925925925926,0.115606358458782,0.130705965913162,44.9268518518518,10.037037037037
50,0.05,0,36,10800,99.0648148148148,0,0.0728725235240067,0.079727529036529,62.9707407407408,0.935185185185184
50,0.05,1,36,10800,99.037037037037,0,0.0729598218470727,0.0797862214521834,62.9907407407408,0.962962962962962
50,0.05,2,36,10800,99.9722222222222,0.00925925925925925,0.0729385330681767,0.0801116004518468,62.8261111111111,0.0185185185185165
50,0.1,0,36,10800,96.6203703703704,0,0.0733992711288099,0.0752619020609453,74.1518518518518,3.37962962962962
50,0.1,1,36,10800,98.1111111111111,0,0.0736035094840913,0.0757135155468945,74.1053703703704,1.89814814814814
50,0.1,2,36,10800,99.4351851851852,0.00925925925925925,0.0730398564226831,0.0760097743624549,73.9062962962963,0.555555555555559
