budget,true_sigma,increment,floor_factor,single_reading_sd,reading_count,expected_average_sd,build_sd_factor,build_sd,repetitions,recorded_overlap_rate,actual_overlap_rate,false_overlap_rate,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_abs_record_error,mean_abs_build_error,mean_duplicates,mean_stage2_tests,execution_mode,scenario_shard_index,scenario_shard_count,seed,repeated_setting_rate,nonfinite_fit_rate
20,0.1,0.05,0,0.015,4,0.0075,0,0,300,0.95,0.95,0,0.00373594164642556,0.0448083295886813,-0.00783838450299007,0.0384694275626143,0.00606444142265639,0,7.53666666666667,5.16333333333333,process-shard,1,4,20260912,0.376833333333333,0.05
20,0.1,0.05,0,0.015,4,0.0075,0.25,0.0125,300,0.94,0.94,0,0.000826583227567385,0.0445874850239052,-0.0105972332683055,0.0395348137150819,0.00606444142265639,0.00998170117836461,7.81333333333333,5.33333333333333,process-shard,4,4,20260912,0.390666666666666,0.0600000000000001
20,0.1,0.05,0,0.015,4,0.0075,0.5,0.025,300,0.93,0.93,0.00333333333333333,-9.16770476404466e-05,0.0398916531401142,-0.0124267487558285,0.0379397023204715,0.00606444142265639,0.0199634023567292,8.39666666666667,5.65666666666667,process-shard,3,4,20260912,0.419833333333334,0.07
20,0.1,0.05,0,0.015,5,0.00670820393249937,0,0,300,0.953333333333333,0.953333333333333,0,-0.00039013506651727,0.0459570526378693,-0.00752498023747829,0.0366834449561562,0.00539209083472937,0,7.56666666666667,5.27666666666667,process-shard,2,4,20260912,0.378333333333334,0.046666666666667
20,0.1,0.05,0,0.015,5,0.00670820393249937,0.25,0.0125,300,0.94,0.94,0,0.00137670257173205,0.0434629349442369,-0.00969659947663182,0.0388967760621339,0.00539209083472937,0.00988334822284947,8.14666666666667,5.77,process-shard,1,4,20260912,0.407333333333333,0.0600000000000001
20,0.1,0.05,0,0.015,5,0.00670820393249937,0.5,0.025,300,0.94,0.943333333333333,0,-0.00119375038845175,0.0415573423599176,-0.0112738157052637,0.0400859551785682,0.00539209083472939,0.0197666964456989,8.60333333333333,5.79333333333333,process-shard,4,4,20260912,0.430166666666666,0.0600000000000001
20,0.1,0.05,0,0.03,4,0.015,0,0,300,0.926666666666667,0.926666666666667,0,0.00284203704761609,0.0466231223139399,-0.00810537613567309,0.0406087685524882,0.0118175454901034,0,7.76666666666667,5.13333333333333,process-shard,3,4,20260912,0.388333333333334,0.073333333333333
20,0.1,0.05,0,0.03,4,0.015,0.25,0.0125,300,0.933333333333333,0.933333333333333,0,0.00384143852191202,0.047087960739063,-0.0082230942283474,0.0381594404161214,0.0118175454901034,0.0099200318378044,7.98666666666667,5.56666666666667,process-shard,2,4,20260912,0.399333333333333,0.066666666666667
20,0.1,0.05,0,0.03,4,0.015,0.5,0.025,300,0.94,0.943333333333333,0,0.00131258468731941,0.0487174751606921,-0.00839651147742582,0.0433354435110093,0.0118175454901034,0.0198400636756088,8.70333333333333,5.68666666666667,process-shard,1,4,20260912,0.435166666666666,0.0600000000000001
20,0.1,0.05,0,0.03,5,0.0134164078649987,0,0,300,0.953333333333333,0.953333333333333,0,-0.00016114133040959,0.0401312204412425,-0.0100808234394153,0.0379210945689992,0.0108010885838539,0,7.54,5.03666666666667,process-shard,4,4,20260912,0.377,0.046666666666667
