id,scenario,repetition,seed,middle,variation,step,starting,budget,completed,status,reason,invariant_failures,replay_mismatches,seconds,nonfinite,bounds,membership,duplicate,stage,measurements,fit,direction,pause_reason,boundary
2,1,2,202610142,1.5,0.15,0.1,1,0,20,complete,,0,0,0.0242935,0,0,0,0,0,0,0,0,0,0
6,2,1,202611141,5,0.15,0.1,1,0,20,complete,,0,0,0.0087024,0,0,0,0,0,0,0,0,0,0
10,2,5,202611145,5,0.15,0.1,1,0,20,complete,,0,0,0.014178,0,0,0,0,0,0,0,0,0,0
14,3,4,202612144,8.5,0.15,0.1,1,0,20,complete,,0,0,0.0024864,0,0,0,0,0,0,0,0,0,0
18,4,3,202613143,1.5,0.25,0.1,1,0,20,complete,,0,0,0.0050525,0,0,0,0,0,0,0,0,0,0
22,5,2,202614142,5,0.25,0.1,1,0,20,complete,,0,0,0.0130287,0,0,0,0,0,0,0,0,0,0
26,6,1,202615141,8.5,0.25,0.1,1,0,20,complete,,0,0,0.0067707,0,0,0,0,0,0,0,0,0,0
30,6,5,202615145,8.5,0.25,0.1,1,0,20,complete,,0,0,0.0022905,0,0,0,0,0,0,0,0,0,0
34,7,4,202616144,1.5,0.5,0.1,1,0,20,complete,,0,0,0.5368215,0,0,0,0,0,0,0,0,0,0
38,8,3,202617143,5,0.5,0.1,1,0,20,complete,,0,0,0.381391,0,0,0,0,0,0,0,0,0,0
42,9,2,202618142,8.5,0.5,0.1,1,0,20,complete,,0,0,0.0063501,0,0,0,0,0,0,0,0,0,0
46,10,1,202619141,1.5,1,0.1,1,0,20,complete,,0,0,0.5175746,0,0,0,0,0,0,0,0,0,0
50,10,5,202619145,1.5,1,0.1,1,0,20,complete,,0,0,0.5212011,0,0,0,0,0,0,0,0,0,0
54,11,4,202620144,5,1,0.1,1,0,20,complete,,0,0,0.3164363,0,0,0,0,0,0,0,0,0,0
58,12,3,202621143,8.5,1,0.1,1,0,20,complete,,0,0,0.0058003,0,0,0,0,0,0,0,0,0,0
62,13,2,202622142,1.5,1.5,0.1,1,0,20,complete,,0,0,0.3111339,0,0,0,0,0,0,0,0,0,0
66,14,1,202623141,5,1.5,0.1,1,0,20,complete,,0,0,0.4270972,0,0,0,0,0,0,0,0,0,0
70,14,5,202623145,5,1.5,0.1,1,0,20,complete,,0,0,0.3341817,0,0,0,0,0,0,0,0,0,0
74,15,4,202624144,8.5,1.5,0.1,1,0,20,complete,,0,0,0.2824344,0,0,0,0,0,0,0,0,0,0
78,16,3,202625143,1.5,0.15,0.15,1,0,20,complete,,0,0,0.0222203,0,0,0,0,0,0,0,0,0,0
82,17,2,202626142,5,0.15,0.15,1,0,20,complete,,0,0,0.0188316,0,0,0,0,0,0,0,0,0,0
86,18,1,202627141,8.5,0.15,0.15,1,0,20,complete,,0,0,0.0022688,0,0,0,0,0,0,0,0,0,0
90,18,5,202627145,8.5,0.15,0.15,1,0,20,complete,,0,0,0.0023781,0,0,0,0,0,0,0,0,0,0
94,19,4,202628144,1.5,0.25,0.15,1,0,20,complete,,0,0,0.0219906,0,0,0,0,0,0,0,0,0,0
98,20,3,202629143,5,0.25,0.15,1,0,20,complete,,0,0,0.0186965,0,0,0,0,0,0,0,0,0,0
