test,internal target (mm),build request (mm),actual measured gap (mm),measurement count,outcome
1,1,1.00,1,1,interaction
2,1.2,1.20,1.2,1,interaction
3,1.4,1.40,1.4000000000000001,1,interaction
4,1.8000000000000003,1.80,1.8,1,interaction
5,2.6,2.60,2.6,1,interaction
6,4.2,4.20,4.2,1,no interaction
7,3.4000000000000004,3.40,3.4,1,interaction
8,3.8,3.80,3.8000000000000003,1,interaction
9,4,4.00,4,1,interaction
10,4.1,4.10,4.1,1,interaction
11,4.280600000000001,4.28,4.28,1,interaction
12,4.522661977461319,4.52,4.5200000000000005,1,interaction
13,5.546920065467585,5.55,5.55,1,no interaction
14,5.243233998423559,5.24,5.24,1,interaction
15,6.371764660467138,6.37,6.37,1,no interaction
16,6.080466064564413,6.08,6.08,1,interaction
17,7.384640160258289,7.38,7.38,1,no interaction
18,7.094333146781744,7.09,7.09,1,no interaction
19,6.893210983291224,6.89,6.890000000000001,1,no interaction
20,6.736020823405605,6.74,6.74,1,no interaction

summary,value,unit
Middle gap,5.3922,mm
Overall variation,1.0412,mm
95% middle-gap low,4.4871,mm
95% middle-gap high,6.5297,mm
High-interaction gap (~99.9% interaction),2.1746,mm
Negligible-interaction gap (~99.9% no interaction),8.6098,mm
Tests,20,
Usable resolution,0.0100,mm
Foil thickness,0.0150,mm
Stage-2 planning variation floor,0.0200,mm
