id,scenario,repetition,seed,middle,variation,step,starting,budget,completed,status,reason,invariant_failures,replay_mismatches,seconds,nonfinite,bounds,membership,duplicate,stage,measurements,fit,direction,pause_reason,boundary
3,1,3,202610143,1.5,0.15,0.1,1,0,20,complete,,0,0,0.0171436,0,0,0,0,0,0,0,0,0,0
7,2,2,202611142,5,0.15,0.1,1,0,20,complete,,0,0,0.0046313,0,0,0,0,0,0,0,0,0,0
11,3,1,202612141,8.5,0.15,0.1,1,0,20,complete,,0,0,0.0068934,0,0,0,0,0,0,0,0,0,0
15,3,5,202612145,8.5,0.15,0.1,1,0,20,complete,,0,0,0.0024705,0,0,0,0,0,0,0,0,0,0
19,4,4,202613144,1.5,0.25,0.1,1,0,20,complete,,0,0,0.0081645,0,0,0,0,0,0,0,0,0,0
23,5,3,202614143,5,0.25,0.1,1,0,20,complete,,0,0,0.0027732,0,0,0,0,0,0,0,0,0,0
27,6,2,202615142,8.5,0.25,0.1,1,0,20,complete,,0,0,0.0025115,0,0,0,0,0,0,0,0,0,0
31,7,1,202616141,1.5,0.5,0.1,1,0,20,complete,,0,0,0.3441898,0,0,0,0,0,0,0,0,0,0
35,7,5,202616145,1.5,0.5,0.1,1,0,20,complete,,0,0,0.2443124,0,0,0,0,0,0,0,0,0,0
39,8,4,202617144,5,0.5,0.1,1,0,20,complete,,0,0,0.0084037,0,0,0,0,0,0,0,0,0,0
43,9,3,202618143,8.5,0.5,0.1,1,0,20,complete,,0,0,0.0033271,0,0,0,0,0,0,0,0,0,0
47,10,2,202619142,1.5,1,0.1,1,0,20,complete,,0,0,0.3338659,0,0,0,0,0,0,0,0,0,0
51,11,1,202620141,5,1,0.1,1,0,20,complete,,0,0,0.2881949,0,0,0,0,0,0,0,0,0,0
55,11,5,202620145,5,1,0.1,1,0,20,complete,,0,0,0.0277535,0,0,0,0,0,0,0,0,0,0
59,12,4,202621144,8.5,1,0.1,1,0,20,complete,,0,0,0.0134663,0,0,0,0,0,0,0,0,0,0
63,13,3,202622143,1.5,1.5,0.1,1,0,20,complete,,0,0,0.6025804,0,0,0,0,0,0,0,0,0,0
67,14,2,202623142,5,1.5,0.1,1,0,20,complete,,0,0,0.2984377,0,0,0,0,0,0,0,0,0,0
71,15,1,202624141,8.5,1.5,0.1,1,0,20,complete,,0,0,0.0071444,0,0,0,0,0,0,0,0,0,0
75,15,5,202624145,8.5,1.5,0.1,1,0,20,complete,,0,0,0.0055433,0,0,0,0,0,0,0,0,0,0
79,16,4,202625144,1.5,0.15,0.15,1,0,20,complete,,0,0,0.0367737,0,0,0,0,0,0,0,0,0,0
83,17,3,202626143,5,0.15,0.15,1,0,20,complete,,0,0,0.0243412,0,0,0,0,0,0,0,0,0,0
87,18,2,202627142,8.5,0.15,0.15,1,0,20,complete,,0,0,0.0034171,0,0,0,0,0,0,0,0,0,0
91,19,1,202628141,1.5,0.25,0.15,1,0,20,complete,,0,0,0.0288035,0,0,0,0,0,0,0,0,0,0
95,19,5,202628145,1.5,0.25,0.15,1,0,20,complete,,0,0,0.0274412,0,0,0,0,0,0,0,0,0,0
99,20,4,202629144,5,0.25,0.15,1,0,20,complete,,0,0,0.029826,0,0,0,0,0,0,0,0,0,0
103,21,3,202630143,8.5,0.25,0.15,1,0,20,complete,,0,0,0.0038653,0,0,0,0,0,0,0,0,0,0
107,22,2,202631142,1.5,0.5,0.15,1,0,20,complete,,0,0,0.3011258,0,0,0,0,0,0,0,0,0,0
111,23,1,202632141,5,0.5,0.15,1,0,20,complete,,0,0,0.0238622,0,0,0,0,0,0,0,0,0,0
115,23,5,202632145,5,0.5,0.15,1,0,20,complete,,0,0,0.0282416,0,0,0,0,0,0,0,0,0,0
119,24,4,202633144,8.5,0.5,0.15,1,0,20,complete,,0,0,0.0037478,0,0,0,0,0,0,0,0,0,0
123,25,3,202634143,1.5,1,0.15,1,0,20,complete,,0,0,0.4084477,0,0,0,0,0,0,0,0,0,0
127,26,2,202635142,5,1,0.15,1,0,20,complete,,0,0,0.0337855,0,0,0,0,0,0,0,0,0,0
131,27,1,202636141,8.5,1,0.15,1,0,20,complete,,0,0,0.0095632,0,0,0,0,0,0,0,0,0,0
135,27,5,202636145,8.5,1,0.15,1,0,20,complete,,0,0,0.0284795,0,0,0,0,0,0,0,0,0,0
139,28,4,202637144,1.5,1.5,0.15,1,0,20,complete,,0,0,0.4178439,0,0,0,0,0,0,0,0,0,0
143,29,3,202638143,5,1.5,0.15,1,0,20,complete,,0,0,0.394861,0,0,0,0,0,0,0,0,0,0
147,30,2,202639142,8.5,1.5,0.15,1,0,20,complete,,0,0,0.0032043,0,0,0,0,0,0,0,0,0,0
151,31,1,202640141,1.5,0.15,0.03,1,0,20,complete,,0,0,0.0263982,0,0,0,0,0,0,0,0,0,0
155,31,5,202640145,1.5,0.15,0.03,1,0,20,complete,,0,0,0.0272312,0,0,0,0,0,0,0,0,0,0
159,32,4,202641144,5,0.15,0.03,1,0,20,complete,,0,0,0.0258659,0,0,0,0,0,0,0,0,0,0
163,33,3,202642143,8.5,0.15,0.03,1,0,20,complete,,0,0,0.0031776,0,0,0,0,0,0,0,0,0,0
167,34,2,202643142,1.5,0.25,0.03,1,0,20,complete,,0,0,0.0249094,0,0,0,0,0,0,0,0,0,0
171,35,1,202644141,5,0.25,0.03,1,0,20,complete,,0,0,0.0256241,0,0,0,0,0,0,0,0,0,0
175,35,5,202644145,5,0.25,0.03,1,0,20,complete,,0,0,0.0235769,0,0,0,0,0,0,0,0,0,0
179,36,4,202645144,8.5,0.25,0.03,1,0,20,complete,,0,0,0.0028807,0,0,0,0,0,0,0,0,0,0
183,37,3,202646143,1.5,0.5,0.03,1,0,20,complete,,0,0,0.3192939,0,0,0,0,0,0,0,0,0,0
187,38,2,202647142,5,0.5,0.03,1,0,20,complete,,0,0,0.0220051,0,0,0,0,0,0,0,0,0,0
191,39,1,202648141,8.5,0.5,0.03,1,0,20,complete,,0,0,0.0031319,0,0,0,0,0,0,0,0,0,0
195,39,5,202648145,8.5,0.5,0.03,1,0,20,complete,,0,0,0.0025852,0,0,0,0,0,0,0,0,0,0
199,40,4,202649144,1.5,1,0.03,1,0,20,complete,,0,0,0.3264042,0,0,0,0,0,0,0,0,0,0
203,41,3,202650143,5,1,0.03,1,0,20,complete,,0,0,0.317474,0,0,0,0,0,0,0,0,0,0
207,42,2,202651142,8.5,1,0.03,1,0,20,complete,,0,0,0.3449896,0,0,0,0,0,0,0,0,0,0
211,43,1,202652141,1.5,1.5,0.03,1,0,4,paused,no_interaction_at_min_gap,0,0,0.0065914,0,0,0,0,0,0,0,0,0,0
215,43,5,202652145,1.5,1.5,0.03,1,0,20,complete,,0,0,0.3518939,0,0,0,0,0,0,0,0,0,0
219,44,4,202653144,5,1.5,0.03,1,0,20,complete,,0,0,0.2972271,0,0,0,0,0,0,0,0,0,0
223,45,3,202654143,8.5,1.5,0.03,1,0,20,complete,,0,0,0.3682203,0,0,0,0,0,0,0,0,0,0
227,46,2,202655142,1.5,0.15,0.1,1,0,62,complete,,0,0,0.0057145,0,0,0,0,0,0,0,0,0,0
231,47,1,202656141,5,0.15,0.1,1,0,62,complete,,0,0,0.0062486,0,0,0,0,0,0,0,0,0,0
235,47,5,202656145,5,0.15,0.1,1,0,62,complete,,0,0,0.0056767,0,0,0,0,0,0,0,0,0,0
239,48,4,202657144,8.5,0.15,0.1,1,0,62,complete,,0,0,0.0057697,0,0,0,0,0,0,0,0,0,0
243,49,3,202658143,1.5,0.25,0.1,1,0,62,complete,,0,0,0.5117859,0,0,0,0,0,0,0,0,0,0
247,50,2,202659142,5,0.25,0.1,1,0,62,complete,,0,0,0.0223052,0,0,0,0,0,0,0,0,0,0
251,51,1,202660141,8.5,0.25,0.1,1,0,62,complete,,0,0,0.007248,0,0,0,0,0,0,0,0,0,0
255,51,5,202660145,8.5,0.25,0.1,1,0,62,complete,,0,0,0.0060738,0,0,0,0,0,0,0,0,0,0
259,52,4,202661144,1.5,0.5,0.1,1,0,62,complete,,0,0,0.6257834,0,0,0,0,0,0,0,0,0,0
263,53,3,202662143,5,0.5,0.1,1,0,62,complete,,0,0,0.4721491,0,0,0,0,0,0,0,0,0,0
267,54,2,202663142,8.5,0.5,0.1,1,0,62,complete,,0,0,0.0057669,0,0,0,0,0,0,0,0,0,0
271,55,1,202664141,1.5,1,0.1,1,0,62,complete,,0,0,0.6973449,0,0,0,0,0,0,0,0,0,0
275,55,5,202664145,1.5,1,0.1,1,0,62,complete,,0,0,0.57772,0,0,0,0,0,0,0,0,0,0
279,56,4,202665144,5,1,0.1,1,0,62,complete,,0,0,0.671142,0,0,0,0,0,0,0,0,0,0
283,57,3,202666143,8.5,1,0.1,1,0,62,complete,,0,0,0.0855991,0,0,0,0,0,0,0,0,0,0
287,58,2,202667142,1.5,1.5,0.1,1,0,62,complete,,0,0,0.6918305,0,0,0,0,0,0,0,0,0,0
291,59,1,202668141,5,1.5,0.1,1,0,62,complete,,0,0,0.6478256,0,0,0,0,0,0,0,0,0,0
295,59,5,202668145,5,1.5,0.1,1,0,62,complete,,0,0,0.7646432,0,0,0,0,0,0,0,0,0,0
299,60,4,202669144,8.5,1.5,0.1,1,0,62,complete,,0,0,0.0924235,0,0,0,0,0,0,0,0,0,0
303,61,3,202670143,1.5,0.15,0.15,1,0,62,complete,,0,0,0.092917,0,0,0,0,0,0,0,0,0,0
307,62,2,202671142,5,0.15,0.15,1,0,62,complete,,0,0,0.0903515,0,0,0,0,0,0,0,0,0,0
311,63,1,202672141,8.5,0.15,0.15,1,0,62,complete,,0,0,0.0083862,0,0,0,0,0,0,0,0,0,0
