id,scenario,repetition,seed,middle,variation,step,starting,budget,completed,status,reason,invariant_failures,replay_mismatches,seconds,nonfinite,bounds,membership,duplicate,stage,measurements,fit,direction,pause_reason,boundary
2,1,2,202610142,1.5,0.15,0.05,0.25,0,20,complete,,0,0,0.9458958,0,0,0,0,0,0,0,0,0,0
6,2,1,202611141,5,0.15,0.05,0.25,0,20,complete,,0,0,0.2743373,0,0,0,0,0,0,0,0,0,0
10,2,5,202611145,5,0.15,0.05,0.25,0,20,complete,,0,0,0.348813,0,0,0,0,0,0,0,0,0,0
14,3,4,202612144,8.5,0.15,0.05,0.25,0,20,complete,,0,0,0.3638381,0,0,0,0,0,0,0,0,0,0
18,4,3,202613143,1.5,0.25,0.05,0.25,0,20,complete,,0,0,0.2821805,0,0,0,0,0,0,0,0,0,0
22,5,2,202614142,5,0.25,0.05,0.25,0,20,complete,,0,0,0.2250667,0,0,0,0,0,0,0,0,0,0
26,6,1,202615141,8.5,0.25,0.05,0.25,0,20,complete,,0,0,0.2500623,0,0,0,0,0,0,0,0,0,0
30,6,5,202615145,8.5,0.25,0.05,0.25,0,20,complete,,0,0,0.2929153,0,0,0,0,0,0,0,0,0,0
34,7,4,202616144,1.5,0.5,0.05,0.25,0,20,complete,,0,0,0.3311712,0,0,0,0,0,0,0,0,0,0
38,8,3,202617143,5,0.5,0.05,0.25,0,20,complete,,0,0,0.22019,0,0,0,0,0,0,0,0,0,0
42,9,2,202618142,8.5,0.5,0.05,0.25,0,20,complete,,0,0,0.326398,0,0,0,0,0,0,0,0,0,0
46,10,1,202619141,1.5,1,0.05,0.25,0,20,complete,,0,0,0.2845621,0,0,0,0,0,0,0,0,0,0
50,10,5,202619145,1.5,1,0.05,0.25,0,20,complete,,0,0,0.3804766,0,0,0,0,0,0,0,0,0,0
54,11,4,202620144,5,1,0.05,0.25,0,20,complete,,0,0,0.3551573,0,0,0,0,0,0,0,0,0,0
58,12,3,202621143,8.5,1,0.05,0.25,0,20,complete,,0,0,0.3201955,0,0,0,0,0,0,0,0,0,0
62,13,2,202622142,1.5,1.5,0.05,0.25,0,20,complete,,0,0,0.3172053,0,0,0,0,0,0,0,0,0,0
66,14,1,202623141,5,1.5,0.05,0.25,0,20,complete,,0,0,0.2739647,0,0,0,0,0,0,0,0,0,0
