id,scenario,repetition,seed,middle,variation,step,starting,budget,completed,status,reason,invariant_failures,replay_mismatches,seconds,nonfinite,bounds,membership,duplicate,stage,measurements,fit,direction,pause_reason,boundary
4,1,4,202610144,1.5,0.15,0.1,1,0,20,complete,,0,0,0.0155168,0,0,0,0,0,0,0,0,0,0
8,2,3,202611143,5,0.15,0.1,1,0,20,complete,,0,0,0.0052272,0,0,0,0,0,0,0,0,0,0
12,3,2,202612142,8.5,0.15,0.1,1,0,20,complete,,0,0,0.0071931,0,0,0,0,0,0,0,0,0,0
16,4,1,202613141,1.5,0.25,0.1,1,0,20,complete,,0,0,0.0022812,0,0,0,0,0,0,0,0,0,0
20,4,5,202613145,1.5,0.25,0.1,1,0,20,complete,,0,0,0.0244486,0,0,0,0,0,0,0,0,0,0
24,5,4,202614144,5,0.25,0.1,1,0,20,complete,,0,0,0.0171606,0,0,0,0,0,0,0,0,0,0
28,6,3,202615143,8.5,0.25,0.1,1,0,20,complete,,0,0,0.0024583,0,0,0,0,0,0,0,0,0,0
32,7,2,202616142,1.5,0.5,0.1,1,0,20,complete,,0,0,0.2358843,0,0,0,0,0,0,0,0,0,0
36,8,1,202617141,5,0.5,0.1,1,0,20,complete,,0,0,0.0136612,0,0,0,0,0,0,0,0,0,0
40,8,5,202617145,5,0.5,0.1,1,0,20,complete,,0,0,0.011626,0,0,0,0,0,0,0,0,0,0
44,9,4,202618144,8.5,0.5,0.1,1,0,20,complete,,0,0,0.0049361,0,0,0,0,0,0,0,0,0,0
48,10,3,202619143,1.5,1,0.1,1,0,20,complete,,0,0,0.3682222,0,0,0,0,0,0,0,0,0,0
52,11,2,202620142,5,1,0.1,1,0,20,complete,,0,0,0.2533077,0,0,0,0,0,0,0,0,0,0
56,12,1,202621141,8.5,1,0.1,1,0,20,complete,,0,0,0.0030093,0,0,0,0,0,0,0,0,0,0
60,12,5,202621145,8.5,1,0.1,1,0,20,complete,,0,0,0.0234019,0,0,0,0,0,0,0,0,0,0
64,13,4,202622144,1.5,1.5,0.1,1,0,20,complete,,0,0,0.3506079,0,0,0,0,0,0,0,0,0,0
68,14,3,202623143,5,1.5,0.1,1,0,20,complete,,0,0,0.2545806,0,0,0,0,0,0,0,0,0,0
72,15,2,202624142,8.5,1.5,0.1,1,0,20,complete,,0,0,0.0233702,0,0,0,0,0,0,0,0,0,0
76,16,1,202625141,1.5,0.15,0.15,1,0,20,complete,,0,0,0.0254732,0,0,0,0,0,0,0,0,0,0
80,16,5,202625145,1.5,0.15,0.15,1,0,20,complete,,0,0,0.0228972,0,0,0,0,0,0,0,0,0,0
84,17,4,202626144,5,0.15,0.15,1,0,20,complete,,0,0,0.0247748,0,0,0,0,0,0,0,0,0,0
88,18,3,202627143,8.5,0.15,0.15,1,0,20,complete,,0,0,0.0048103,0,0,0,0,0,0,0,0,0,0
92,19,2,202628142,1.5,0.25,0.15,1,0,20,complete,,0,0,0.0239098,0,0,0,0,0,0,0,0,0,0
96,20,1,202629141,5,0.25,0.15,1,0,20,complete,,0,0,0.0248314,0,0,0,0,0,0,0,0,0,0
100,20,5,202629145,5,0.25,0.15,1,0,20,complete,,0,0,0.0199908,0,0,0,0,0,0,0,0,0,0
104,21,4,202630144,8.5,0.25,0.15,1,0,20,complete,,0,0,0.0030236,0,0,0,0,0,0,0,0,0,0
108,22,3,202631143,1.5,0.5,0.15,1,0,20,complete,,0,0,0.0224378,0,0,0,0,0,0,0,0,0,0
112,23,2,202632142,5,0.5,0.15,1,0,20,complete,,0,0,0.0203206,0,0,0,0,0,0,0,0,0,0
116,24,1,202633141,8.5,0.5,0.15,1,0,20,complete,,0,0,0.0042746,0,0,0,0,0,0,0,0,0,0
120,24,5,202633145,8.5,0.5,0.15,1,0,20,complete,,0,0,0.0040409,0,0,0,0,0,0,0,0,0,0
124,25,4,202634144,1.5,1,0.15,1,0,20,complete,,0,0,0.287064,0,0,0,0,0,0,0,0,0,0
128,26,3,202635143,5,1,0.15,1,0,20,complete,,0,0,0.2755504,0,0,0,0,0,0,0,0,0,0
132,27,2,202636142,8.5,1,0.15,1,0,20,complete,,0,0,0.0190836,0,0,0,0,0,0,0,0,0,0
136,28,1,202637141,1.5,1.5,0.15,1,0,20,complete,,0,0,0.3037428,0,0,0,0,0,0,0,0,0,0
140,28,5,202637145,1.5,1.5,0.15,1,0,20,complete,,0,0,0.3079602,0,0,0,0,0,0,0,0,0,0
144,29,4,202638144,5,1.5,0.15,1,0,20,complete,,0,0,0.0143348,0,0,0,0,0,0,0,0,0,0
148,30,3,202639143,8.5,1.5,0.15,1,0,20,complete,,0,0,0.0073017,0,0,0,0,0,0,0,0,0,0
152,31,2,202640142,1.5,0.15,0.03,1,0,20,complete,,0,0,0.0256161,0,0,0,0,0,0,0,0,0,0
156,32,1,202641141,5,0.15,0.03,1,0,20,complete,,0,0,0.020254,0,0,0,0,0,0,0,0,0,0
160,32,5,202641145,5,0.15,0.03,1,0,20,complete,,0,0,0.0025374,0,0,0,0,0,0,0,0,0,0
164,33,4,202642144,8.5,0.15,0.03,1,0,20,complete,,0,0,0.0025919,0,0,0,0,0,0,0,0,0,0
168,34,3,202643143,1.5,0.25,0.03,1,0,20,complete,,0,0,0.021854,0,0,0,0,0,0,0,0,0,0
172,35,2,202644142,5,0.25,0.03,1,0,20,complete,,0,0,0.0159112,0,0,0,0,0,0,0,0,0,0
176,36,1,202645141,8.5,0.25,0.03,1,0,20,complete,,0,0,0.0025954,0,0,0,0,0,0,0,0,0,0
180,36,5,202645145,8.5,0.25,0.03,1,0,20,complete,,0,0,0.0025744,0,0,0,0,0,0,0,0,0,0
184,37,4,202646144,1.5,0.5,0.03,1,0,20,complete,,0,0,0.0230373,0,0,0,0,0,0,0,0,0,0
188,38,3,202647143,5,0.5,0.03,1,0,20,complete,,0,0,0.025308,0,0,0,0,0,0,0,0,0,0
192,39,2,202648142,8.5,0.5,0.03,1,0,20,complete,,0,0,0.0023845,0,0,0,0,0,0,0,0,0,0
196,40,1,202649141,1.5,1,0.03,1,0,4,paused,no_interaction_at_min_gap,0,0,0.0038315,0,0,0,0,0,0,0,0,0,0
