id,scenario,repetition,seed,middle,variation,step,starting,budget,completed,status,reason,invariant_failures,replay_mismatches,seconds,nonfinite,bounds,membership,duplicate,stage,measurements,fit,direction,pause_reason,boundary
2,1,2,202610142,1.5,0.15,0.05,0.25,0,20,complete,,0,0,0.8314371,0,0,0,0,0,0,0,0,0,0
6,2,1,202611141,5,0.15,0.05,0.25,0,20,complete,,0,0,0.2827536,0,0,0,0,0,0,0,0,0,0
10,2,5,202611145,5,0.15,0.05,0.25,0,20,complete,,0,0,0.3973726,0,0,0,0,0,0,0,0,0,0
14,3,4,202612144,8.5,0.15,0.05,0.25,0,20,complete,,0,0,0.3989503,0,0,0,0,0,0,0,0,0,0
18,4,3,202613143,1.5,0.25,0.05,0.25,0,20,complete,,0,0,0.372727,0,0,0,0,0,0,0,0,0,0
22,5,2,202614142,5,0.25,0.05,0.25,0,20,complete,,0,0,0.3372967,0,0,0,0,0,0,0,0,0,0
26,6,1,202615141,8.5,0.25,0.05,0.25,0,20,complete,,0,0,0.2973763,0,0,0,0,0,0,0,0,0,0
30,6,5,202615145,8.5,0.25,0.05,0.25,0,20,complete,,0,0,0.347648,0,0,0,0,0,0,0,0,0,0
34,7,4,202616144,1.5,0.5,0.05,0.25,0,20,complete,,0,0,0.4597253,0,0,0,0,0,0,0,0,0,0
38,8,3,202617143,5,0.5,0.05,0.25,0,20,complete,,0,0,0.3239055,0,0,0,0,0,0,0,0,0,0
42,9,2,202618142,8.5,0.5,0.05,0.25,0,20,complete,,0,0,0.4663946,0,0,0,0,0,0,0,0,0,0
46,10,1,202619141,1.5,1,0.05,0.25,0,20,complete,,0,0,0.3877834,0,0,0,0,0,0,0,0,0,0
50,10,5,202619145,1.5,1,0.05,0.25,0,20,complete,,0,0,0.418156,0,0,0,0,0,0,0,0,0,0
54,11,4,202620144,5,1,0.05,0.25,0,20,complete,,0,0,0.4948319,0,0,0,0,0,0,0,0,0,0
58,12,3,202621143,8.5,1,0.05,0.25,0,20,complete,,0,0,0.4789235,0,0,0,0,0,0,0,0,0,0
62,13,2,202622142,1.5,1.5,0.05,0.25,0,20,complete,,0,0,0.316267,0,0,0,0,0,0,0,0,0,0
66,14,1,202623141,5,1.5,0.05,0.25,0,20,complete,,0,0,0.3420104,0,0,0,0,0,0,0,0,0,0
70,14,5,202623145,5,1.5,0.05,0.25,0,20,complete,,0,0,0.4504736,0,0,0,0,0,0,0,0,0,0
74,15,4,202624144,8.5,1.5,0.05,0.25,0,20,complete,,0,0,0.4328973,0,0,0,0,0,0,0,0,0,0
78,16,3,202625143,1.5,0.15,0.1,0.25,0,20,complete,,0,0,0.2739527,0,0,0,0,0,0,0,0,0,0
82,17,2,202626142,5,0.15,0.1,0.25,0,20,complete,,0,0,0.3546976,0,0,0,0,0,0,0,0,0,0
86,18,1,202627141,8.5,0.15,0.1,0.25,0,20,complete,,0,0,0.3102154,0,0,0,0,0,0,0,0,0,0
90,18,5,202627145,8.5,0.15,0.1,0.25,0,20,complete,,0,0,0.2064903,0,0,0,0,0,0,0,0,0,0
94,19,4,202628144,1.5,0.25,0.1,0.25,0,20,complete,,0,0,0.2798592,0,0,0,0,0,0,0,0,0,0
98,20,3,202629143,5,0.25,0.1,0.25,0,20,complete,,0,0,0.2389139,0,0,0,0,0,0,0,0,0,0
102,21,2,202630142,8.5,0.25,0.1,0.25,0,20,complete,,0,0,0.2793712,0,0,0,0,0,0,0,0,0,0
106,22,1,202631141,1.5,0.5,0.1,0.25,0,20,complete,,0,0,0.2468063,0,0,0,0,0,0,0,0,0,0
110,22,5,202631145,1.5,0.5,0.1,0.25,0,20,complete,,0,0,0.2941979,0,0,0,0,0,0,0,0,0,0
114,23,4,202632144,5,0.5,0.1,0.25,0,20,complete,,0,0,0.2927868,0,0,0,0,0,0,0,0,0,0
118,24,3,202633143,8.5,0.5,0.1,0.25,0,20,complete,,0,0,0.3998316,0,0,0,0,0,0,0,0,0,0
122,25,2,202634142,1.5,1,0.1,0.25,0,20,complete,,0,0,0.5040238,0,0,0,0,0,0,0,0,0,0
126,26,1,202635141,5,1,0.1,0.25,0,20,complete,,0,0,0.3701051,0,0,0,0,0,0,0,0,0,0
130,26,5,202635145,5,1,0.1,0.25,0,20,complete,,0,0,0.3146334,0,0,0,0,0,0,0,0,0,0
134,27,4,202636144,8.5,1,0.1,0.25,0,20,complete,,0,0,0.2931375,0,0,0,0,0,0,0,0,0,0
138,28,3,202637143,1.5,1.5,0.1,0.25,0,20,complete,,0,0,0.4221311,0,0,0,0,0,0,0,0,0,0
142,29,2,202638142,5,1.5,0.1,0.25,0,20,complete,,0,0,0.4840547,0,0,0,0,0,0,0,0,0,0
146,30,1,202639141,8.5,1.5,0.1,0.25,0,20,complete,,0,0,0.3730152,0,0,0,0,0,0,0,0,0,0
150,30,5,202639145,8.5,1.5,0.1,0.25,0,20,complete,,0,0,0.3704897,0,0,0,0,0,0,0,0,0,0
154,31,4,202640144,1.5,0.15,0.15,0.25,0,20,complete,,0,0,0.2816017,0,0,0,0,0,0,0,0,0,0
158,32,3,202641143,5,0.15,0.15,0.25,0,20,complete,,0,0,0.0255046,0,0,0,0,0,0,0,0,0,0
162,33,2,202642142,8.5,0.15,0.15,0.25,0,20,complete,,0,0,0.2626388,0,0,0,0,0,0,0,0,0,0
166,34,1,202643141,1.5,0.25,0.15,0.25,0,20,complete,,0,0,0.4651302,0,0,0,0,0,0,0,0,0,0
170,34,5,202643145,1.5,0.25,0.15,0.25,0,20,complete,,0,0,0.4148729,0,0,0,0,0,0,0,0,0,0
174,35,4,202644144,5,0.25,0.15,0.25,0,20,complete,,0,0,0.0207226,0,0,0,0,0,0,0,0,0,0
178,36,3,202645143,8.5,0.25,0.15,0.25,0,20,complete,,0,0,0.0204734,0,0,0,0,0,0,0,0,0,0
182,37,2,202646142,1.5,0.5,0.15,0.25,0,20,complete,,0,0,0.435225,0,0,0,0,0,0,0,0,0,0
186,38,1,202647141,5,0.5,0.15,0.25,0,20,complete,,0,0,0.3355604,0,0,0,0,0,0,0,0,0,0
190,38,5,202647145,5,0.5,0.15,0.25,0,20,complete,,0,0,0.3293249,0,0,0,0,0,0,0,0,0,0
194,39,4,202648144,8.5,0.5,0.15,0.25,0,20,complete,,0,0,0.2386769,0,0,0,0,0,0,0,0,0,0
198,40,3,202649143,1.5,1,0.15,0.25,0,20,complete,,0,0,0.3167892,0,0,0,0,0,0,0,0,0,0
202,41,2,202650142,5,1,0.15,0.25,0,20,complete,,0,0,0.3312068,0,0,0,0,0,0,0,0,0,0
206,42,1,202651141,8.5,1,0.15,0.25,0,20,complete,,0,0,0.3523628,0,0,0,0,0,0,0,0,0,0
210,42,5,202651145,8.5,1,0.15,0.25,0,20,complete,,0,0,0.3814685,0,0,0,0,0,0,0,0,0,0
214,43,4,202652144,1.5,1.5,0.15,0.25,0,20,complete,,0,0,0.4398246,0,0,0,0,0,0,0,0,0,0
218,44,3,202653143,5,1.5,0.15,0.25,0,20,complete,,0,0,0.3444056,0,0,0,0,0,0,0,0,0,0
222,45,2,202654142,8.5,1.5,0.15,0.25,0,20,complete,,0,0,0.2032704,0,0,0,0,0,0,0,0,0,0
226,46,1,202655141,1.5,0.15,0.5,0.25,0,20,complete,,0,0,0.0157134,0,0,0,0,0,0,0,0,0,0
230,46,5,202655145,1.5,0.15,0.5,0.25,0,20,complete,,0,0,0.022688,0,0,0,0,0,0,0,0,0,0
234,47,4,202656144,5,0.15,0.5,0.25,0,20,complete,,0,0,0.018472,0,0,0,0,0,0,0,0,0,0
238,48,3,202657143,8.5,0.15,0.5,0.25,0,20,complete,,0,0,0.0204377,0,0,0,0,0,0,0,0,0,0
242,49,2,202658142,1.5,0.25,0.5,0.25,0,20,complete,,0,0,0.0199546,0,0,0,0,0,0,0,0,0,0
246,50,1,202659141,5,0.25,0.5,0.25,0,20,complete,,0,0,0.0219334,0,0,0,0,0,0,0,0,0,0
250,50,5,202659145,5,0.25,0.5,0.25,0,20,complete,,0,0,0.0245992,0,0,0,0,0,0,0,0,0,0
254,51,4,202660144,8.5,0.25,0.5,0.25,0,20,complete,,0,0,0.0233652,0,0,0,0,0,0,0,0,0,0
258,52,3,202661143,1.5,0.5,0.5,0.25,0,20,complete,,0,0,0.0197548,0,0,0,0,0,0,0,0,0,0
262,53,2,202662142,5,0.5,0.5,0.25,0,20,complete,,0,0,0.2883979,0,0,0,0,0,0,0,0,0,0
266,54,1,202663141,8.5,0.5,0.5,0.25,0,20,complete,,0,0,0.279343,0,0,0,0,0,0,0,0,0,0
270,54,5,202663145,8.5,0.5,0.5,0.25,0,20,complete,,0,0,0.0224175,0,0,0,0,0,0,0,0,0,0
274,55,4,202664144,1.5,1,0.5,0.25,0,20,complete,,0,0,0.2699862,0,0,0,0,0,0,0,0,0,0
278,56,3,202665143,5,1,0.5,0.25,0,20,complete,,0,0,0.3385259,0,0,0,0,0,0,0,0,0,0
282,57,2,202666142,8.5,1,0.5,0.25,0,20,complete,,0,0,0.299279,0,0,0,0,0,0,0,0,0,0
