engine,budget,mean_offset_guess_sigma,true_sigma_ratio,repetitions,overlap_rate,overlap_rate_se,mean_overlap_test,mu_bias,mu_rmse,sigma_bias,sigma_rmse,clip_rate,nonfinite_rate,mean_duplicate_levels,mean_stage2_tests,grid_points,seed
baseline,20,0,0.1,100,0,0,NaN,NaN,NaN,NaN,NaN,0,0,5,18,2001,20260905
baseline,20,0,0.2,100,0.01,0.0099498743710662,16,-0.141340144043162,0.141340144043162,0.236742833511826,0.236742833511826,0,0,4.97,17.96,2001,20260905
baseline,20,0,0.5,100,0.47,0.0499099188538711,11.063829787234,-0.0335740074633357,0.182844224240402,0.0660972789959834,0.145542516431163,0,0,3.31,13.8,2001,20260905
baseline,20,0,1,100,0.94,0.0237486841740758,8.06382978723404,0.0757799371961758,0.426110270013672,-0.101784315380227,0.301756715977845,0,0,0.97,6.73,2001,20260905
baseline,20,0,2,100,1,0,6.25,-0.0587144115364618,0.68033461049289,-0.339299868039485,0.867673352041149,0,0,0.27,4.04,2001,20260905
baseline,20,0,5,100,1,0,5.75,0.0261557744654506,1.65323632581346,-1.15247374672879,2.29060392029756,0,0,0.14,3.31,2001,20260905
baseline,20,0,10,100,1,0,6.3,0.798732280336429,3.45331548014867,-3.75075314314937,6.19854840801048,0,0,0.16,3.77,2001,20260905
baseline,20,2,0.1,100,0,0,NaN,NaN,NaN,NaN,NaN,0,0,3.49,17.49,2001,20260905
baseline,20,2,0.2,100,0,0,NaN,NaN,NaN,NaN,NaN,0,0,3.47,17.47,2001,20260905
baseline,20,2,0.5,100,0.56,0.0496386945839634,11.4821428571429,-0.00366024857097473,0.204775243823763,0.0662378149539217,0.135084929658589,0,0,1.96,12.71,2001,20260905
baseline,20,2,1,100,0.96,0.0195959179422654,8.78125,0.0353240610211924,0.359845001603952,-0.0687272828308713,0.369160459653571,0,0,0.64,6.76,2001,20260905
baseline,20,2,2,100,1,0,6.36,0.120340267847411,0.608819183202105,-0.385046600339541,0.782352636070165,0,0,0.26,3.88,2001,20260905
baseline,20,2,5,100,1,0,5.97,0.127076503162467,1.74971980634619,-0.69514600350975,2.41925409088667,0.01,0,0.18,3.45,2001,20260905
baseline,20,2,10,100,1,0,6.21,-0.540953251569168,3.53780700219273,-2.8921221612633,5.7236398827985,0.03,0,0.11,3.58,2001,20260905
baseline,20,5,0.1,100,0,0,NaN,NaN,NaN,NaN,NaN,0,0,3,16,2001,20260905
baseline,20,5,0.2,100,0.01,0.0099498743710662,12,-0.24108767541812,0.24108767541812,0.230107375804094,0.230107375804094,0,0,2.98,15.92,2001,20260905
baseline,20,5,0.5,100,0.53,0.0499099188538711,12.6415094339623,-0.0270078957432897,0.198405588524356,0.0893302798029939,0.144982594319988,0,0,1.57,12.14,2001,20260905
baseline,20,5,1,100,0.91,0.0286181760425084,9.45054945054945,-0.00155378086529958,0.399435913016369,-0.0933705833079367,0.313964496196243,0,0,0.56,6.61,2001,20260905
baseline,20,5,2,100,1,0,7.66,-0.126286900298405,0.724233804261545,-0.369687998570504,0.768641953047715,0,0,0.29,4.14,2001,20260905
baseline,20,5,5,100,1,0,6.66,0.0855901920602075,1.49580447901642,-1.40331036671325,2.38274553535507,0,0,0.14,3.52,2001,20260905
baseline,20,5,10,100,1,0,6.31,-0.135006058445944,3.22413602874285,-2.63733777192135,5.349065473028,0,0,0.14,3.46,2001,20260905
baseline,50,0,0.1,100,0,0,NaN,NaN,NaN,NaN,NaN,0,0,33,48,2001,20260905
baseline,50,0,0.2,100,0,0,NaN,NaN,NaN,NaN,NaN,0,0,33,48,2001,20260905
