scenario,test,selected_level,latent_threshold,response_yes,recorded_stage,going_in_mu,going_in_sigma
accurate_guess,1,5,5.05351212283433,0,1,5,1
accurate_guess,2,7,5.39897185760468,1,1,5,1
accurate_guess,3,6,1.86883805581883,1,2,6,1
accurate_guess,4,4.19,5.78531714792607,0,2,5.5,1
accurate_guess,5,6.81,4.35374477184745,1,2,5.5,1
accurate_guess,6,4.27,5.89185579706345,0,2,5.5,1
accurate_guess,7,6.73,5.9320235330572,1,2,5.5,1
accurate_guess,8,4.3,3.46448469080296,1,2,5.5,1
accurate_guess,9,5.96,5.07459199234263,1,3,4.91225831163823,0.843845529274556
accurate_guess,10,3.92,4.33893715580126,0,3,4.85481768107164,0.764978012213325
accurate_guess,11,5.72,4.70502879434711,1,3,4.89430266626441,0.710466323779212
accurate_guess,12,5.58,5.97255787512447,0,3,4.83715605375529,0.649800717772185
accurate_guess,13,4.07,6.48663591703599,0,3,5.11080317662667,0.851272635884182
accurate_guess,14,6.11,4.10012981962201,1,3,5.14491294110831,0.808918346434536
accurate_guess,15,4.22,3.25647197700322,1,3,5.11016773923449,0.770963461701152
accurate_guess,16,3.62,5.65191790886071,0,3,4.88067109234281,0.985440673332988
accurate_guess,17,3.72,5.79650746655699,0,3,4.90934129594085,0.94076878410611
accurate_guess,18,6.04,3.75100041149049,1,3,4.93383949855276,0.904786654249314
accurate_guess,19,5.95,5.52669410284618,1,3,4.90527462222223,0.869515285461059
accurate_guess,20,3.89,5.07627577771941,0,3,4.87921406647909,0.838986001230392
middle_far_above,1,5,8.26587937355571,0,1,5,1
middle_far_above,2,7,8.51904998545998,0,1,5,1
middle_far_above,3,9,7.51379867068576,1,1,5,1
middle_far_above,4,8,8.72424300328449,0,2,8,1
middle_far_above,5,9.81,8.14882669214706,1,2,8.5,1
middle_far_above,6,7.2,8.98266374327902,0,2,8.5,1
middle_far_above,7,9.73,7.28554656163251,1,2,8.5,1
middle_far_above,8,7.27,7.42824328141733,0,2,8.5,1
middle_far_above,9,9.69,7.18818146164553,1,2,8.5,1
middle_far_above,10,7.31,7.98240608610848,0,2,8.5,1
middle_far_above,11,9.68,7.9349114973074,1,2,8.5,1
middle_far_above,12,7.33,8.29590312572255,0,2,8.5,1
middle_far_above,13,9.66,7.26663417223168,1,2,8.5,1
middle_far_above,14,7.34,7.56990093253234,0,2,8.5,1
middle_far_above,15,9.66,8.54826986291433,1,2,8.5,1
middle_far_above,16,7.34,7.19166050347797,1,2,8.5,1
middle_far_above,17,8.72,8.06157473957323,1,3,8.0630066217605,0.622308754803888
middle_far_above,18,8.6,7.72127837228283,1,3,7.98882834929238,0.564406637573729
middle_far_above,19,8.49,6.2742225977576,1,3,7.92884867677784,0.515641167499658
middle_far_above,20,8.39,6.38010655590527,1,3,7.8809479975493,0.476636822979782
narrow_transition,1,5,4.96963206063749,1,1,5,1
narrow_transition,2,3,4.71475555301158,0,1,5,1
narrow_transition,3,4,4.92088109349125,0,2,4,1
narrow_transition,4,5.81,5.326791283946,1,2,4.5,1
narrow_transition,5,3.19,5.05259222054925,0,2,4.5,1
narrow_transition,6,5.73,4.98820533392883,1,2,4.5,1
narrow_transition,7,3.27,5.09043716049205,0,2,4.5,1
narrow_transition,8,5.7,5.31418148023468,1,2,4.5,1
narrow_transition,9,3.31,4.89759099445584,0,2,4.5,1
narrow_transition,10,5.68,4.77529026241669,1,2,4.5,1
narrow_transition,11,3.32,4.95045508001276,0,2,4.5,1
narrow_transition,12,5.67,5.30245844845046,1,2,4.5,1
narrow_transition,13,3.34,5.04975944360748,0,2,4.5,1
narrow_transition,14,5.66,5.10647849566787,1,2,4.5,1
narrow_transition,15,3.34,5.12511534041036,0,2,4.5,1
narrow_transition,16,5.65,4.47722501513558,1,2,4.5,1
narrow_transition,17,3.35,4.92404972886235,0,2,4.5,1
narrow_transition,18,5.65,4.8202836360197,1,2,4.5,1
narrow_transition,19,3.35,4.9945424567726,0,2,4.5,1
narrow_transition,20,5.65,5.31081316195523,1,2,4.5,1
wide_transition,1,5,3.25823754102869,1,1,5,1
wide_transition,2,3,1.55424637571302,1,1,5,1
