budget,true_sigma,increment,increment_over_sigma,repetitions,overlap_rate,mean_overlap_test,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_duplicate_levels,seed
20,0.1,0.01,0.1,200,0.835,15.2155688622754,4.22320134533668e-05,0.0513384365659505,-0.0132370385915509,0.0405075686012119,1.195,20260908
20,0.1,0.05,0.5,200,0.655,15.5419847328244,0.00247137528970402,0.0511701926146574,-0.00508572496514767,0.0391817817209352,5.25,20260908
20,0.1,0.1,1,200,0.46,14.9130434782609,-0.00173173900590692,0.0549668897469081,0.0155071483502286,0.0402331394006396,7.925,20260908
20,0.1,0.25,2.5,200,0.035,11.5714285714286,0.0283988288861492,0.093025009375219,0.0944491676708288,0.102855945241712,11.975,20260908
20,0.2,0.01,0.05,200,0.925,13.3027027027027,-0.0017716269747603,0.0829268532237659,-0.0494386420461319,0.0924184330429034,0.99,20260908
20,0.2,0.05,0.25,200,0.865,13.1271676300578,-0.00732772139182092,0.0834667880026669,-0.0460505387370232,0.0846501899662475,4.565,20260908
20,0.2,0.1,0.5,200,0.79,13.3481012658228,0.0046190948506155,0.0836197261972429,-0.0373266918968675,0.0810983263514748,7.465,20260908
20,0.2,0.25,1.25,200,0.355,10.2676056338028,-0.0228053152672267,0.0950978328278646,0.0172411047236823,0.0616316840668709,11.64,20260908
20,0.5,0.01,0.02,200,1,10.15,-0.00697330608859744,0.199622323066543,-0.123710355779733,0.241441391677786,0.695,20260908
20,0.5,0.05,0.1,200,0.985,9.86294416243655,-0.00607776866013863,0.188352763907232,-0.100801465259223,0.233657388401499,3.32,20260908
20,0.5,0.1,0.2,200,0.98,10.1020408163265,-0.0102570791799741,0.198249669725418,-0.105926289446355,0.228423716364218,5.68,20260908
20,0.5,0.25,0.5,200,0.84,8.97023809523809,-0.0136709642066861,0.208140445901634,-0.053265327923837,0.199417271942886,10.14,20260908
20,1,0.01,0.01,200,0.995,7.17587939698493,0.0325633114778386,0.353970487750836,-0.158721116143431,0.39688056300495,0.335,20260908
20,1,0.05,0.05,200,0.99,7.50505050505051,0.0195986951604234,0.347093509747909,-0.158007220592643,0.414221014528343,2.025,20260908
20,1,0.1,0.1,200,0.99,7.47979797979798,0.0323665647800122,0.363678695288551,-0.16927932543012,0.395993219061786,3.32,20260908
20,1,0.25,0.25,200,0.925,7.01621621621622,0.0182985968299412,0.364415094934049,-0.112573675068566,0.380570019622331,7.825,20260908
50,0.1,0.01,0.1,200,1,16.59,0.00255333793936259,0.0221576076081683,-0.00914156754414213,0.0248142862911965,18.625,20260908
50,0.1,0.05,0.5,200,0.755,16.7880794701987,0.00068623111417145,0.0239331052438419,-0.00291226467638948,0.0238588997211671,34.51,20260908
50,0.1,0.1,1,200,0.45,15.0777777777778,0.00604458476656021,0.0246164820338653,0.00688203524218875,0.0219123866664833,37.925,20260908
50,0.1,0.25,2.5,200,0.045,10.6666666666667,0.00202923170229348,0.0238231208809647,0.0389562332785314,0.0402572527043225,41.965,20260908
50,0.2,0.01,0.05,200,0.995,13.5376884422111,-0.00468168490604364,0.0410366111656625,-0.0158612984202477,0.0513617841823422,12.54,20260908
50,0.2,0.05,0.25,200,0.93,13.0913978494624,-0.00182749037551834,0.0445405194778785,-0.0159329167040549,0.0477946330463325,31.57,20260908
50,0.2,0.1,0.5,200,0.775,12.4903225806452,-0.00268612626240399,0.050077324779663,-0.0102371522246261,0.0457900294757472,36.65,20260908
50,0.2,0.25,1.25,200,0.395,10.3544303797468,0.0041073531980344,0.048912276753996,0.0150891633134974,0.0503789822181505,41.56,20260908
50,0.5,0.01,0.02,200,1,10.035,0.00865758093932313,0.105200349683523,-0.0543097036300799,0.127936161429376,6.5,20260908
50,0.5,0.05,0.1,200,0.99,9.63636363636364,0.00907089890974883,0.0993095583021128,-0.0515383667888925,0.124400929071536,24.19,20260908
50,0.5,0.1,0.2,200,0.945,9.57142857142857,0.0073675797900647,0.106622823170661,-0.0414504939039726,0.121727649880795,32.02,20260908
50,0.5,0.25,0.5,200,0.83,8.78915662650602,0.00304176451225395,0.115226159119133,-0.0324814963845331,0.113037677654576,39.765,20260908
50,1,0.01,0.01,200,1,7.32,-0.0198087294464929,0.205306106137997,-0.0608243010926894,0.240762746808324,3.57,20260908
50,1,0.05,0.05,200,0.99,7.49494949494949,-0.0231447331519845,0.197670695599552,-0.0341669775365443,0.240934399422757,15.26,20260908
50,1,0.1,0.1,200,0.99,7.41414141414141,-0.0185095826499568,0.198908465492659,-0.0551981699389637,0.240908160944818,24.325,20260908
50,1,0.25,0.25,200,0.93,7.03763440860215,-0.00975467766435575,0.214352244108659,-0.0350588832819052,0.238325040901941,35.64,20260908
