budget,true_sigma,increment,single_reading_sd,reading_count,expected_average_sd,repetitions,overlap_rate,actual_overlap_rate,measurement_only_overlap_rate,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_abs_record_error,seed
20,0.1,0.05,0,1,0,100,0.7,0.7,0,0.00423043752017873,0.0505517934121419,-0.010802140640517,0.0423861707861218,0,20260910
20,0.1,0.05,0,5,0,100,0.7,0.7,0,0.00423043752017873,0.0505517934121419,-0.010802140640517,0.0423861707861218,0,20260910
20,0.1,0.1,0,1,0,100,0.46,0.46,0,0.00485422899327757,0.0565036512543897,0.00622704990667514,0.0326624579816484,0,20260910
20,0.1,0.1,0,5,0,100,0.46,0.46,0,0.00485422899327757,0.0565036512543897,0.00622704990667514,0.0326624579816484,0,20260910
20,0.1,0.05,0.015,1,0.015,100,0.74,0.66,0.08,0.00758878998523002,0.0477656313066161,-0.0165559003148658,0.0429934169732118,0.0120396270244131,20260910
20,0.1,0.05,0.015,5,0.00670820393249937,100,0.81,0.72,0.09,0.00463787227400578,0.0486543911965594,-0.0176926541345487,0.0438811360211404,0.00547055359639734,20260910
20,0.1,0.1,0.015,1,0.015,100,0.61,0.41,0.2,0.00433309012000521,0.0406788790582152,-0.0205748527431505,0.0461724675063709,0.0120396270244131,20260910
20,0.1,0.1,0.015,5,0.00670820393249937,100,0.77,0.47,0.3,0.00904196474202742,0.0512989051238654,-0.028312222315255,0.0511496364547287,0.00547055359639734,20260910
20,0.1,0.05,0.03,1,0.03,100,0.8,0.65,0.16,-0.00198909782499601,0.0522300254868739,-0.0212683810747813,0.0437856456996704,0.0244657510978515,20260910
20,0.1,0.05,0.03,5,0.0134164078649987,100,0.76,0.65,0.11,0.00619729094128372,0.0538121450116769,-0.0166935732584929,0.047143177584042,0.0107169512360595,20260910
20,0.1,0.1,0.03,1,0.03,100,0.82,0.49,0.34,0.00311341451459184,0.0570191056077667,-0.0260146656861031,0.0454065610536922,0.0244657510978515,20260910
20,0.1,0.1,0.03,5,0.0134164078649987,100,0.8,0.37,0.43,-0.00573684592879498,0.0438178533743765,-0.0352743586014737,0.0526727996199869,0.0107169512360595,20260910
20,0.2,0.05,0,1,0,100,0.93,0.93,0,-0.00928678959505437,0.089212834738775,-0.0552852973471004,0.0933184201082459,0,20260910
20,0.2,0.05,0,5,0,100,0.93,0.93,0,-0.00928678959505437,0.089212834738775,-0.0552852973471004,0.0933184201082459,0,20260910
20,0.2,0.1,0,1,0,100,0.82,0.82,0,-0.00627183473961751,0.0820201417877824,-0.0339932880793807,0.0734705319888564,0,20260910
20,0.2,0.1,0,5,0,100,0.82,0.82,0,-0.00627183473961751,0.0820201417877824,-0.0339932880793807,0.0734705319888564,0,20260910
20,0.2,0.05,0.015,1,0.015,100,0.96,0.91,0.05,-0.00375226628352353,0.0825136785546487,-0.0558991964362827,0.0903082814349548,0.0118159700924463,20260910
20,0.2,0.05,0.015,5,0.00670820393249937,100,0.91,0.84,0.07,-0.00158379715801354,0.0822309827143656,-0.0536058717251725,0.0998789129702358,0.00530390175703299,20260910
20,0.2,0.1,0.015,1,0.015,100,0.91,0.8,0.11,-0.0121988485475858,0.0872193725540468,-0.0504173144169014,0.0926456268366237,0.0118159700924463,20260910
20,0.2,0.1,0.015,5,0.00670820393249937,100,0.92,0.81,0.11,-0.00359293074025959,0.0865360370545634,-0.0526432972737478,0.0940098549959957,0.005303901757033,20260910
20,0.2,0.05,0.03,1,0.03,100,0.9,0.84,0.07,0.00117785530657252,0.0965767826899924,-0.0561227894486853,0.0953081299180552,0.0240190755220925,20260910
20,0.2,0.05,0.03,5,0.0134164078649987,100,0.92,0.89,0.03,0.00116038055346801,0.0939813388210228,-0.0410227907858805,0.0886281368445377,0.0106364483326744,20260910
20,0.2,0.1,0.03,1,0.03,100,0.92,0.8,0.12,0.000875798297045133,0.0918819456833448,-0.0641952564993021,0.0963447279587547,0.0240190755220925,20260910
20,0.2,0.1,0.03,5,0.0134164078649987,100,0.91,0.79,0.12,0.00235306202482865,0.0906537148751479,-0.0467768108664445,0.0915853615873743,0.0106364483326744,20260910
20,0.5,0.05,0,1,0,100,0.98,0.98,0,0.0116385714650885,0.184453546271567,-0.113588044387936,0.234071670709708,0,20260910
20,0.5,0.05,0,5,0,100,0.98,0.98,0,0.0116385712282361,0.184453546283751,-0.113588044769114,0.234071670366773,5.77315972805081e-18,20260910
20,0.5,0.1,0,1,0,100,0.94,0.94,0,0.0102134831586938,0.179131302491818,-0.0933361822511209,0.209326048110843,0,20260910
20,0.5,0.1,0,5,0,100,0.94,0.94,0,0.0102134831011355,0.179131302565671,-0.0933361822355325,0.209326047987366,8.21565038222616e-18,20260910
20,0.5,0.05,0.015,1,0.015,100,1,0.99,0.01,-0.0150168892145468,0.190674971619441,-0.12436180056213,0.231191757246711,0.0120948907452983,20260910
20,0.5,0.05,0.015,5,0.00670820393249937,100,0.99,0.98,0.01,0.0125307465897767,0.158493367438119,-0.105985579003063,0.237329224783422,0.00526618388019407,20260910
20,0.5,0.1,0.015,1,0.015,100,0.99,0.97,0.02,-0.0130662733959635,0.19698596948354,-0.107862011963904,0.229077557779612,0.0120948907452983,20260910
20,0.5,0.1,0.015,5,0.00670820393249937,100,1,0.98,0.02,-0.000903796293047527,0.183455069724096,-0.110056383683096,0.236270691946956,0.00526618388019406,20260910
20,0.5,0.05,0.03,1,0.03,100,0.98,0.96,0.02,-0.021498427102235,0.184841351922926,-0.105274935395016,0.232089244160848,0.0238309727412795,20260910
20,0.5,0.05,0.03,5,0.0134164078649987,100,1,1,0,-0.00250868528840896,0.152635144548542,-0.118754371957258,0.245795787101591,0.0108749029714368,20260910
20,0.5,0.1,0.03,1,0.03,100,0.99,0.95,0.04,-0.00192081464414901,0.18187683469388,-0.0993417131604181,0.236289468587366,0.0238309727412795,20260910
20,0.5,0.1,0.03,5,0.0134164078649987,100,0.99,0.97,0.02,-0.00435403839587173,0.182090506370519,-0.0949832252693474,0.236684009491832,0.0108749029714368,20260910
50,0.1,0.05,0,1,0,100,0.82,0.82,0,-0.000226134211110881,0.0262112431497148,-0.00666233423023118,0.0242039327080476,0,20260910
50,0.1,0.05,0,5,0,100,0.82,0.82,0,-0.000226134211110881,0.0262112431497148,-0.00666233423023118,0.0242039327080476,0,20260910
50,0.1,0.1,0,1,0,100,0.47,0.47,0,0.00622805012407751,0.0200853229735937,-0.00115925666907224,0.0245610608327313,0,20260910
50,0.1,0.1,0,5,0,100,0.47,0.47,0,0.00622805012407751,0.0200853229735937,-0.00115925666907224,0.0245610608327313,0,20260910
