engine,budget,mean_offset_guess_sigma,true_sigma_ratio,repetitions,overlap_rate,overlap_rate_se,mean_overlap_test,mu_bias,mu_rmse,sigma_bias,sigma_rmse,clip_rate,nonfinite_rate,mean_duplicate_levels,mean_stage2_tests,grid_points,seed
proposed,20,0,0.1,100,0.85,0.0357071421427143,15.1058823529412,-0.00458184187748446,0.0485946934744578,-0.012012171347939,0.0379100207924593,0,0,1.21,12.84,2001,20260905
proposed,20,0,0.2,100,0.96,0.0195959179422654,14.3333333333333,0.0100711122127875,0.0906368311486036,-0.0651766371604276,0.108970297400177,0,0,1.02,11.56,2001,20260905
proposed,20,0,0.5,100,0.99,0.0099498743710662,10.0909090909091,-0.00741713805975688,0.170708469675323,-0.140560864756719,0.228994632595436,0,0,0.68,7.19,2001,20260905
proposed,20,0,1,100,1,0,7.53,0.0677546532383242,0.387433455666681,-0.256022003312382,0.447111605257135,0,0,0.4,4.48,2001,20260905
proposed,20,0,2,100,1,0,6,-0.0465671148355816,0.669347481936819,-0.379765572155473,0.993524471881729,0,0,0.18,2.78,2001,20260905
proposed,20,0,5,100,1,0,5.81,0.0246360315492928,1.54695355118918,-1.48355386518153,2.56748144587906,0,0,0.1,2.29,2001,20260905
proposed,20,0,10,100,1,0,6.49,0.659771805116584,3.4320305361602,-4.63955506708954,6.45672529954548,0,0,0.11,2.8,2001,20260905
proposed,20,2,0.1,100,0.74,0.0438634243989226,15.5405405405405,0.00135957692995186,0.050747095570028,-0.0087334830267763,0.0457403127656851,0,0,1.09,13.19,2001,20260905
proposed,20,2,0.2,100,0.92,0.0271293199325011,13.9021739130435,-4.90310630207156e-06,0.0914075378883725,-0.0604484474784708,0.0968797134778315,0,0,0.92,10.86,2001,20260905
proposed,20,2,0.5,100,0.98,0.014,10.3469387755102,-0.00571292058854022,0.189167749817116,-0.131389938554889,0.244206541809549,0,0,0.52,7.02,2001,20260905
proposed,20,2,1,100,1,0,7.72,-0.00778652758860566,0.328957027551134,-0.205934540103397,0.434456170124627,0,0,0.39,4.24,2001,20260905
proposed,20,2,2,100,1,0,6.32,0.0437198280236535,0.620721522577535,-0.475084410466475,0.893425918915748,0,0,0.27,2.77,2001,20260905
proposed,20,2,5,100,1,0,6.01,0.142952333886527,1.72197024549071,-1.1775278174153,2.56579738066744,0.01,0,0.14,2.36,2001,20260905
proposed,20,2,10,100,1,0,6.31,-0.688998082411011,3.46581505226645,-3.75865163114977,5.69742903403427,0.02,0,0.08,2.5,2001,20260905
proposed,20,5,0.1,100,0.61,0.0487749935930288,11.9344262295082,-0.0139171063437918,0.0550808265035058,-0.00313092709198908,0.0444345324343672,0,0,0.04,9.08,2001,20260905
proposed,20,5,0.2,100,0.83,0.0375632799419859,13.0361445783133,0.0122749911119039,0.094942017835691,-0.0570064168474838,0.0891008892762275,0,0,0.09,8.22,2001,20260905
proposed,20,5,0.5,100,0.99,0.0099498743710662,11.4343434343434,0.00206320737344743,0.186041936834531,-0.156670956408135,0.255839521406462,0,0,0.23,5.6,2001,20260905
proposed,20,5,1,100,1,0,9.16,-0.00476144104813041,0.380537887178245,-0.285223536517931,0.47434196250247,0,0,0.32,3.58,2001,20260905
proposed,20,5,2,100,1,0,7.62,-0.0781137253571932,0.711273116503664,-0.484889352501863,0.978276015520775,0,0,0.22,2.45,2001,20260905
proposed,20,5,5,100,1,0,6.73,0.0810220053116351,1.48702464754577,-1.71481233843895,2.64314042164576,0,0,0.18,2.09,2001,20260905
