budget,true_sigma,increment,floor_factor,repetitions,overlap_rate,mean_overlap_test,mu_rmse,sigma_rmse,sigma_bias,mean_duplicates,mean_stage2_tests
20,0.1,0.05,0,1000,0.914,7.73960612691466,0.0446662259172845,0.0389522460095805,-0.00940416747512959,7.346,5.794
20,0.1,0.05,0.5,1000,0.914,7.73960612691466,0.0446662259172845,0.0389522460095805,-0.00940416747512959,7.346,5.794
20,0.1,0.05,1,1000,0.914,7.73960612691466,0.0446662260863941,0.0389522460758784,-0.00940416745525913,7.346,5.794
20,0.1,0.05,2,1000,0.944,8.07203389830508,0.0486847002161068,0.0394599994609279,-0.00812523028869821,7.292,5.74
20,0.1,0.1,0,1000,0.698,9.19340974212034,0.0610302640642774,0.0401252693325041,0.0150442137475433,10.652,9.457
20,0.1,0.1,0.5,1000,0.698,9.19340974212034,0.061030264214274,0.0401252694706602,0.015044213782004,10.652,9.457
20,0.1,0.1,1,1000,0.747,9.77376171352075,0.0650056786108046,0.0456160426116215,0.0200268944037692,10.556,9.361
20,0.1,0.1,2,1000,0.755,9.77615894039735,0.0633527104527051,0.0444685405421816,0.0188523110236717,10.498,9.281
20,0.2,0.05,0,1000,0.98,6.82551020408163,0.0793004711464356,0.0827696842528502,-0.033446940867801,5.795,4.089
20,0.2,0.05,0.5,1000,0.98,6.82551020408163,0.0793004711464356,0.0827696842528502,-0.033446940867801,5.795,4.089
20,0.2,0.05,1,1000,0.98,6.82551020408163,0.0793004712796904,0.0827696842629139,-0.0334469408400026,5.795,4.089
20,0.2,0.05,2,1000,0.991,6.95156407669021,0.0800801207631983,0.0826176206241341,-0.0336481951195882,5.775,4.069
20,0.2,0.1,0,1000,0.912,7.59868421052632,0.0802702641243151,0.0739377731738885,-0.0185630822337393,8.598,5.69
20,0.2,0.1,0.5,1000,0.912,7.59868421052632,0.0802702641578857,0.0739377731822391,-0.0185630822235953,8.598,5.69
20,0.2,0.1,1,1000,0.949,8.0031612223393,0.0819516082040692,0.0727812881679182,-0.0184957924468976,8.523,5.615
20,0.2,0.1,2,1000,0.956,8.05962343096234,0.0831625193419137,0.0729716964737604,-0.0184331630824776,8.498,5.585
20,0.5,0.05,0,1000,0.986,6.27079107505071,0.181895091899017,0.215193063506947,-0.0969878477402027,4.133,3.463
20,0.5,0.05,0.5,1000,0.986,6.27079107505071,0.181895091899017,0.215193063506947,-0.0969878477402027,4.133,3.463
20,0.5,0.05,1,1000,0.986,6.27079107505071,0.181895091974074,0.215193063524318,-0.0969878477540461,4.133,3.463
20,0.5,0.05,2,1000,0.993,6.36253776435045,0.181345450168275,0.216543573880955,-0.0988716063494126,4.128,3.458
20,0.5,0.1,0,1000,0.966,6.43478260869565,0.185531574565174,0.207167098760355,-0.0868031644720842,6.514,3.896
20,0.5,0.1,0.5,1000,0.966,6.43478260869565,0.18553157460249,0.207167098766961,-0.0868031644778071,6.514,3.896
20,0.5,0.1,1,1000,0.983,6.63479145473042,0.184577924878872,0.209346224439508,-0.0905891083767795,6.481,3.862
20,0.5,0.1,2,1000,0.986,6.66632860040568,0.183695741188813,0.209621227911668,-0.0913137643313873,6.47,3.853
50,0.1,0.05,0,1000,0.953,7.81741867785939,0.0229398746951763,0.0240752547102152,-0.00717998309874112,36.021,6.8
50,0.1,0.05,0.5,1000,0.953,7.81741867785939,0.0229398746951763,0.0240752547102152,-0.00717998309874112,36.021,6.8
50,0.1,0.05,1,1000,0.953,7.81741867785939,0.0229398746951763,0.0240752547102152,-0.00717998309874112,36.021,6.8
50,0.1,0.05,2,1000,1,8.567,0.0235137976804389,0.0246855880748756,-0.00817823650751515,35.736,5.567
50,0.1,0.1,0,1000,0.786,10.735368956743,0.0306017290622126,0.022223996445861,-0.00122791361120874,39.929,16.138
50,0.1,0.1,0.5,1000,0.786,10.735368956743,0.0277305263626666,0.0223624873197519,-0.00094571115566809,39.929,16.138
50,0.1,0.1,1,1000,0.98,14.4285714285714,0.032338687248426,0.0233635087853827,-0.00242229605300905,39.086,12.14
50,0.1,0.1,2,1000,0.987,14.4457953394124,0.0319867793661298,0.0235165710682901,-0.00339458968370031,39.095,11.908
50,0.2,0.05,0,1000,0.981,6.70438328236493,0.0482207780811567,0.0497360036809046,-0.0153058271874689,32.987,4.527
50,0.2,0.05,0.5,1000,0.981,6.70438328236493,0.0482207780811567,0.0497360036809046,-0.0153058271874689,32.987,4.527
50,0.2,0.05,1,1000,0.981,6.70438328236493,0.0482207780811567,0.0497360036809046,-0.0153058271874689,32.987,4.527
50,0.2,0.05,2,1000,1,7.007,0.048382223989035,0.0510534813472762,-0.0164446236875567,32.856,4.007
50,0.2,0.1,0,1000,0.925,7.46486486486486,0.0470448289011386,0.0468546556818751,-0.0134509399020823,37.699,7.655
50,0.2,0.1,0.5,1000,0.925,7.46486486486486,0.0470448289011386,0.0468546556818751,-0.0134509399020823,37.699,7.655
50,0.2,0.1,1,1000,1,8.605,0.0491461270008512,0.048651200121454,-0.0160909608443946,37.329,5.605
50,0.2,0.1,2,1000,1,8.553,0.0496096328478845,0.0486853693480521,-0.016047931252276,37.321,5.553
50,0.5,0.05,0,1000,0.993,6.32124874118832,0.117148469508515,0.122685699504799,-0.0375128728605795,24.74,3.627
50,0.5,0.05,0.5,1000,0.993,6.32124874118832,0.117148469508515,0.122685699504799,-0.0375128728605795,24.74,3.627
50,0.5,0.05,1,1000,0.993,6.32124874118832,0.117148469508515,0.122685699504799,-0.0375128728605795,24.74,3.627
50,0.5,0.05,2,1000,1,6.345,0.117157779206178,0.123954684126357,-0.0389444845370074,24.638,3.345
50,0.5,0.1,0,1000,0.982,6.76272912423625,0.113830616049283,0.120338008089199,-0.0333126474540944,32.817,4.541
50,0.5,0.1,0.5,1000,0.982,6.76272912423625,0.113830616049283,0.120338008089199,-0.0333126474540944,32.817,4.541
50,0.5,0.1,1,1000,1,6.767,0.113848153066318,0.123232520904305,-0.0362061717939983,32.648,3.767
50,0.5,0.1,2,1000,1,6.725,0.113273774153238,0.12216473561829,-0.0356068977445615,32.646,3.725
