engine,budget,mean_offset_guess_sigma,true_sigma_ratio,repetitions,overlap_rate,overlap_rate_se,mean_overlap_test,mu_bias,mu_rmse,sigma_bias,sigma_rmse,clip_rate,nonfinite_rate,mean_duplicate_levels,mean_stage2_tests,grid_points,seed
shrink-only,20,0,0.1,100,0.81,0.0392300904918661,15.4691358024691,0.00499078481949977,0.0468297670449727,-0.0104109672797035,0.038651165868317,0,0,0.29,14.33,2001,20260905
shrink-only,20,0,0.2,100,0.93,0.0255147016443461,14.1075268817204,0.00274772476579757,0.0871478782701268,-0.0417116269310356,0.0878932008766766,0,0,0.2,12.52,2001,20260905
shrink-only,20,0,0.5,100,0.99,0.0099498743710662,9.62626262626263,0.0181029675726377,0.194358737741511,-0.072199009701809,0.211671077871799,0,0,0.25,7.73,2001,20260905
shrink-only,20,0,1,100,1,0,7.3,0.0788564271414945,0.395485747254159,-0.205126803130418,0.414134328872672,0,0,0.31,5.25,2001,20260905
shrink-only,20,0,2,100,1,0,6.14,-0.0166316604264923,0.588481431481334,-0.401745645559429,0.985789154145572,0,0,0.18,3.93,2001,20260905
shrink-only,20,0,5,100,1,0,6.2,0.0611326699459683,1.61180652153401,-1.35267634546082,2.55195323869601,0,0,0.09,3.76,2001,20260905
shrink-only,20,0,10,100,1,0,6.2,0.879832381058254,3.5060631682386,-3.70427788959491,5.99162105363282,0,0,0.08,3.67,2001,20260905
shrink-only,20,2,0.1,100,0.68,0.0466476151587624,15.6323529411765,-0.0129189953021243,0.0491919788819057,-0.00403615953313336,0.0396078415033298,0,0,0.04,14.52,2001,20260905
shrink-only,20,2,0.2,100,0.87,0.0336303434416005,14.2298850574713,-0.00381112174741849,0.0943343762857081,-0.0363555051271189,0.0865360920437023,0,0,0.1,12.45,2001,20260905
shrink-only,20,2,0.5,100,0.99,0.0099498743710662,10.6565656565657,0.0241446100301823,0.186631795989777,-0.0866960005650831,0.201001905543088,0,0,0.26,8.23,2001,20260905
shrink-only,20,2,1,100,1,0,8.28,0.0266734636179391,0.342227905976824,-0.233064229412398,0.459191180545966,0,0,0.22,5.81,2001,20260905
shrink-only,20,2,2,100,1,0,6.6,0.0674622453734048,0.634077676688486,-0.464691998717845,0.860232478282248,0,0,0.25,4.12,2001,20260905
shrink-only,20,2,5,100,1,0,6.22,0.0256576198515518,1.75375557705434,-1.20520024961715,2.39633468646718,0,0,0.14,3.7,2001,20260905
shrink-only,20,2,10,100,1,0,6.7,-0.439430519231779,3.18925572003579,-4.14355771839275,5.86406976503436,0.01,0,0.1,4.07,2001,20260905
shrink-only,20,5,0.1,100,0.4,0.0489897948556636,17.475,-0.0160005324143319,0.0521365992011137,0.0298308944634625,0.0471847504527117,0,0,0.08,14.99,2001,20260905
shrink-only,20,5,0.2,100,0.72,0.0448998886412873,16.1944444444444,-0.00045218196873177,0.111899402092505,-0.0135841768325461,0.0778802832950805,0,0,0.16,13.26,2001,20260905
shrink-only,20,5,0.5,100,0.97,0.017058722109232,12.2989690721649,0.00909027528751257,0.200953112585313,-0.0851616710004006,0.211314672891104,0,0,0.26,8.57,2001,20260905
shrink-only,20,5,1,100,1,0,9.76,-0.0168054440270243,0.388843388319469,-0.236963284049194,0.42539139879747,0,0,0.25,5.97,2001,20260905
shrink-only,20,5,2,100,1,0,7.57,-0.0836885674543804,0.698169771367605,-0.387135302481592,0.914118792093051,0,0,0.2,4.05,2001,20260905
shrink-only,20,5,5,100,1,0,6.91,0.0591949587310956,1.46586910572592,-1.65470915374953,2.50380077241792,0,0,0.16,3.77,2001,20260905
shrink-only,20,5,10,100,1,0,6.31,-0.184406182791787,3.37373571102483,-2.60918297901634,5.49486709724917,0.01,0,0.09,3.46,2001,20260905
shrink-only,50,0,0.1,100,1,0,17.5,0.00144632391978506,0.0269377110370509,-0.0106838096682825,0.0280719623056065,0,0,17.3,15.5,2001,20260905
shrink-only,50,0,0.2,100,1,0,14.22,-0.00231514458949223,0.0440949176645268,-0.0107519475185193,0.0512295932018964,0,0,11.66,12.22,2001,20260905
shrink-only,50,0,0.5,100,1,0,10.52,0.00266910345161509,0.117590386950317,-0.0513221981847368,0.142866006029563,0,0,7.38,8.52,2001,20260905
shrink-only,50,0,1,100,1,0,7.65,-0.0223218952834329,0.210422719738208,-0.0768357063965922,0.235745835639047,0,0,3.51,5.57,2001,20260905
shrink-only,50,0,2,100,1,0,6.57,-0.0609733460123079,0.463758752592087,-0.138774914873722,0.516402717050228,0,0,1.75,4.41,2001,20260905
shrink-only,50,0,5,100,1,0,5.98,0.136695757526255,1.07976693202517,-0.334787156713031,1.22784067628016,0,0,0.75,3.56,2001,20260905
shrink-only,50,0,10,100,1,0,6,0.0903570941438915,2.20565940081135,-0.769516818125948,2.33834973515439,0,0,0.34,3.4,2001,20260905
shrink-only,50,2,0.1,100,1,0,18.23,0.00169897320931289,0.0305211522053188,-0.0118642142261543,0.0284524372671607,0,0,16.21,15.75,2001,20260905
shrink-only,50,2,0.2,100,1,0,14.98,0.00131741604228551,0.0509678243317991,-0.0113864768063104,0.0541666022268184,0,0,10.59,12.52,2001,20260905
shrink-only,50,2,0.5,100,1,0,10.97,-0.00731585379157724,0.121355613856461,-0.0477576471915285,0.129373156940481,0,0,6.36,8.44,2001,20260905
shrink-only,50,2,1,100,1,0,8.03,-0.0139976012519503,0.203340920372103,-0.0688018038435207,0.232817716058227,0,0,3.43,5.58,2001,20260905
