engine,scenario,budget,low,high,true_mu,true_sigma,repetitions,mean_second_level,mean_both_response_test,overlap_rate,mean_overlap_test,mu_rmse,sigma_rmse,seed
baseline,wide_centered,20,-10,10,0,1,200,0.04,2.03,0.94,7.76595744680851,0.363743789612466,0.311574776114695,20260906
baseline,wide_upper_inside,20,-10,10,8,1,200,2,4.485,0.93,11.494623655914,0.358781168348683,0.355068582008087,20260906
baseline,wide_above_bound,20,-10,10,15,1,200,2,5.17,0.905,12.6629834254144,0.444483790676703,0.376621692349918,20260906
baseline,asymmetric_inside,20,0,20,15,1,200,12,3.82,0.925,10.2648648648649,0.387762000961865,0.34344713589625,20260906
baseline,asymmetric_above,20,0,20,25,1,200,12,5.19,0.91,12.489010989011,0.451503638056327,0.361119657286232,20260906
baseline,tight_centered,20,-2,2,0,1,200,-0.06,2.02,0.985,8.13705583756345,0.351237465566405,0.307936466832572,20260906
baseline,wide_centered,50,-10,10,0,1,200,-0.02,2.015,1,9.105,0.227963135585879,0.23040264280539,20260906
baseline,wide_upper_inside,50,-10,10,8,1,200,2,4.515,1,15.12,0.240320012535676,0.250401147637128,20260906
baseline,wide_above_bound,50,-10,10,15,1,200,2,5.165,1,13.63,0.245150490223961,0.232615124017846,20260906
baseline,asymmetric_inside,50,0,20,15,1,200,12,3.87,1,11.355,0.256251291326504,0.238612747839362,20260906
baseline,asymmetric_above,50,0,20,25,1,200,12,5.145,1,14.025,0.240001229820193,0.231529769119695,20260906
baseline,tight_centered,50,-2,2,0,1,200,0.12,2.02,1,9.835,0.218998240089171,0.231475604552552,20260906
