engine,scenario,budget,low,high,true_mu,true_sigma,repetitions,mean_second_level,mean_both_response_test,overlap_rate,mean_overlap_test,mu_rmse,sigma_rmse,seed
stage1-only,wide_centered,20,-10,10,0,1,200,0.1,2,0.96,8.63020833333333,0.347599265720729,0.336409910927707,20260906
stage1-only,wide_upper_inside,20,-10,10,8,1,200,5,3.025,0.93,9.58602150537634,0.421298212708679,0.353420196006289,20260906
stage1-only,wide_above_bound,20,-10,10,15,1,200,5,4,0.915,11.2021857923497,0.366214388544281,0.349207549613644,20260906
stage1-only,asymmetric_inside,20,0,20,15,1,200,15,2.49,0.95,9.03684210526316,0.330050290329527,0.366061991420292,20260906
stage1-only,asymmetric_above,20,0,20,25,1,200,15,4,0.935,11.3262032085561,0.394742945488738,0.388174010046637,20260906
stage1-only,tight_centered,20,-2,2,0,1,200,-0.06,2.02,0.985,8.13705583756345,0.351237465566405,0.307936466832572,20260906
stage1-only,wide_centered,50,-10,10,0,1,200,-0.05,2,1,9.28,0.232685141290022,0.235807662832714,20260906
stage1-only,wide_upper_inside,50,-10,10,8,1,200,5,3.04,1,10.695,0.225494160371115,0.228111020825246,20260906
stage1-only,wide_above_bound,50,-10,10,15,1,200,5,4,1,12.18,0.242569534215475,0.245376525873615,20260906
stage1-only,asymmetric_inside,50,0,20,15,1,200,15,2.46,1,10.285,0.250912835816824,0.248677415120403,20260906
stage1-only,asymmetric_above,50,0,20,25,1,200,15,4,1,12.32,0.209390717715043,0.268064172044756,20260906
stage1-only,tight_centered,50,-2,2,0,1,200,0.12,2.02,1,9.835,0.218998240089171,0.231475604552552,20260906
