labelled size (mm),sample number,reading 1 (mm),reading 2 (mm),reading 3 (mm),sample average (mm)
0.50,1,0.50,0.47,0.49,0.486667
0.50,2,0.45,0.50,0.47,0.473333
0.50,3,0.52,0.49,0.45,0.486667
0.50,4,0.47,0.48,0.50,0.483333
0.50,5,0.51,0.50,0.52,0.510000
0.50,6,0.48,0.53,0.49,0.500000
0.50,7,0.49,0.51,0.48,0.493333
0.50,8,0.44,0.47,0.42,0.443333
0.50,9,0.47,0.52,0.47,0.486667
0.50,10,0.46,0.49,0.54,0.496667
1.00,1,1.07,1.16,1.13,1.120000
1.00,2,1.10,1.16,1.09,1.116667
1.00,3,1.13,1.16,1.07,1.120000
1.00,4,1.14,1.13,1.10,1.123333
1.00,5,1.16,1.09,1.09,1.113333
1.00,6,1.08,1.08,1.16,1.106667
1.00,7,1.17,1.12,1.10,1.130000
1.00,8,1.10,1.14,1.14,1.126667
1.00,9,1.15,1.10,1.08,1.110000
1.00,10,1.09,1.16,1.10,1.116667
2.00,1,2.08,2.04,2.07,2.063333
2.00,2,2.06,2.04,2.09,2.063333
2.00,3,2.10,2.09,2.05,2.080000
2.00,4,2.09,2.05,2.08,2.073333
2.00,5,2.08,2.13,2.06,2.090000
2.00,6,2.03,2.07,2.08,2.060000
2.00,7,2.06,2.05,2.07,2.060000
2.00,8,2.05,2.06,2.07,2.060000
2.00,9,2.08,2.09,2.05,2.073333
2.00,10,2.11,2.07,2.06,2.080000
